SERIES,DESCRIPTION,,
XUDLERD,Spot exchange rate - Euro into US $,,
XUDLGBD,Spot exchange rate - Sterling into US$,,
XUDLJYD,Spot exchange rate - Japanese Yen into US $,,
,,,
DATE,XUDLERD,XUDLGBD,XUDLJYD
2-Jan-75,0.7633,0.4281,300.75
3-Jan-75,0.7585,0.4271,300.65
6-Jan-75,0.7524,0.4252,300.85
7-Jan-75,0.751,0.4246,300.65
8-Jan-75,0.7554,0.4258,300.7
9-Jan-75,0.7551,0.4256,300.77
10-Jan-75,0.7534,0.4251,300.82
13-Jan-75,0.754,0.4248,300.82
14-Jan-75,0.7588,0.4261,300.9
15-Jan-75,0.7562,0.4254,300.77
16-Jan-75,0.7546,0.4249,300.75
17-Jan-75,0.7537,0.4249,300.87
20-Jan-75,0.7503,0.4244,300.9
21-Jan-75,0.7487,0.4231,300.72
22-Jan-75,0.7416,0.4183,300.07
23-Jan-75,0.7404,0.42,299.27
24-Jan-75,0.7384,0.4196,295
27-Jan-75,0.7324,0.4168,295.55
28-Jan-75,0.7357,0.4197,297.35
29-Jan-75,0.7429,0.4218,297.27
30-Jan-75,0.7418,0.421,297.82
31-Jan-75,0.7423,0.42,297.85
3-Feb-75,0.745,0.4211,297.45
4-Feb-75,0.7518,0.4221,297.02
5-Feb-75,0.7513,0.422,297.17
6-Feb-75,0.7495,0.4223,296.4
7-Feb-75,0.7477,0.4213,295.3
10-Feb-75,0.7441,0.4192,292.22
11-Feb-75,0.7438,0.4197,291.5
12-Feb-75,0.7427,0.4186,292.4
13-Feb-75,0.7383,0.4184,294.7
14-Feb-75,0.7382,0.4183,293.02
17-Feb-75,0.7361,0.4179,292.94
18-Feb-75,0.7366,0.4178,293.22
19-Feb-75,0.7375,0.4171,291.6
20-Feb-75,0.7336,0.4165,291.22
21-Feb-75,0.7331,0.4162,289.4
24-Feb-75,0.7282,0.4128,285.6
25-Feb-75,0.7304,0.4138,286.25
26-Feb-75,0.7256,0.4125,285.5
27-Feb-75,0.7225,0.4119,285.85
28-Feb-75,0.7222,0.4117,286.35
3-Mar-75,0.7214,0.4111,285.3
4-Mar-75,0.7253,0.4116,284.5
5-Mar-75,0.7246,0.4109,285.05
6-Mar-75,0.7276,0.4119,285.72
7-Mar-75,0.7345,0.4153,286.25
10-Mar-75,0.7341,0.4156,286.15
11-Mar-75,0.7289,0.4129,286.1
12-Mar-75,0.7338,0.4149,287.42
13-Mar-75,0.7329,0.414,288.8
14-Mar-75,0.7309,0.4136,287.95
17-Mar-75,0.7306,0.4134,286.3
18-Mar-75,0.7278,0.4123,286.9
19-Mar-75,0.7259,0.4117,288.2
20-Mar-75,0.7284,0.4125,287.1
21-Mar-75,0.7307,0.4131,287.25
24-Mar-75,0.7327,0.4137,287.85
25-Mar-75,0.7336,0.414,289.92
26-Mar-75,0.7353,0.4145,290.32
27-Mar-75,0.7374,0.4162,292.1
1-Apr-75,0.7351,0.4153,290.87
2-Apr-75,0.7349,0.4153,291.4
3-Apr-75,0.7375,0.4163,292.1
4-Apr-75,0.7432,0.4183,292.22
7-Apr-75,0.7428,0.4202,291.72
8-Apr-75,0.7405,0.4199,291.75
9-Apr-75,0.7409,0.4205,291.67
10-Apr-75,0.7457,0.4232,291.72
11-Apr-75,0.7449,0.4227,290.9
14-Apr-75,0.7471,0.4243,291.12
15-Apr-75,0.7444,0.4227,290.97
16-Apr-75,0.7436,0.4226,291.25
17-Apr-75,0.7433,0.4224,291.52
18-Apr-75,0.743,0.4211,291.7
21-Apr-75,0.7441,0.4233,292.67
22-Apr-75,0.7427,0.4248,292.62
23-Apr-75,0.7379,0.4219,292.72
24-Apr-75,0.7388,0.4238,292.76
25-Apr-75,0.7418,0.4251,293.75
28-Apr-75,0.7435,0.4263,294.42
29-Apr-75,0.7406,0.4248,293.7
30-Apr-75,0.7394,0.4251,292.1
1-May-75,0.7391,0.4257,292.07
2-May-75,0.7405,0.4275,290.35
5-May-75,0.7378,0.4272,290.67
6-May-75,0.7371,0.4275,291.12
7-May-75,0.7346,0.4275,291.1
8-May-75,0.7309,0.4274,291.37
9-May-75,0.7327,0.431,291.35
12-May-75,0.7331,0.4344,291.25
13-May-75,0.727,0.4333,291.27
14-May-75,0.7287,0.4337,291.62
15-May-75,0.7343,0.4344,291.57
16-May-75,0.733,0.4343,291.47
19-May-75,0.731,0.4342,291.87
20-May-75,0.7312,0.4341,292.12
21-May-75,0.7272,0.4321,292.12
22-May-75,0.7254,0.4295,291.65
23-May-75,0.7259,0.4297,290.87
27-May-75,0.7255,0.4298,291.05
28-May-75,0.7251,0.43,290.55
29-May-75,0.7274,0.4317,290.35
30-May-75,0.7295,0.4316,291.4
2-Jun-75,0.7292,0.4313,291.35
3-Jun-75,0.7264,0.4308,290.9
4-Jun-75,0.7277,0.4313,291.25
5-Jun-75,0.7275,0.4306,292.15
6-Jun-75,0.7283,0.4307,291.75
9-Jun-75,0.7293,0.4315,291.8
10-Jun-75,0.7281,0.4329,291.85
11-Jun-75,0.7265,0.4373,291.9
12-Jun-75,0.726,0.4388,292.32
13-Jun-75,0.7269,0.4373,292.57
16-Jun-75,0.7258,0.4389,294.17
17-Jun-75,0.7252,0.4402,293.3
18-Jun-75,0.7271,0.4399,294.05
19-Jun-75,0.7278,0.4399,294.05
20-Jun-75,0.7274,0.4402,293.95
23-Jun-75,0.7291,0.4403,294.5
24-Jun-75,0.7294,0.4433,295.35
25-Jun-75,0.7289,0.4435,297.1
26-Jun-75,0.7298,0.4453,295.82
27-Jun-75,0.7319,0.4495,296.07
30-Jun-75,0.7341,0.4578,295.47
1-Jul-75,0.7366,0.4523,295.7
2-Jul-75,0.7429,0.4546,295.37
3-Jul-75,0.744,0.4554,295.47
4-Jul-75,0.7449,0.4558,295.75
7-Jul-75,0.7486,0.4579,295.5
8-Jul-75,0.7467,0.4553,295.75
9-Jul-75,0.7459,0.453,295.85
10-Jul-75,0.7511,0.4542,296.15
11-Jul-75,0.7551,0.4544,296.07
14-Jul-75,0.7582,0.4565,295.7
15-Jul-75,0.7583,0.4569,295.72
16-Jul-75,0.7647,0.4581,296
17-Jul-75,0.7677,0.4582,296.22
18-Jul-75,0.7711,0.4595,296.12
21-Jul-75,0.775,0.46,296.17
22-Jul-75,0.774,0.4587,296.32
23-Jul-75,0.7818,0.459,296.77
24-Jul-75,0.7821,0.4588,296.75
25-Jul-75,0.7803,0.4588,296.75
28-Jul-75,0.7857,0.4596,297.62
29-Jul-75,0.7881,0.4598,297.22
30-Jul-75,0.7906,0.4624,297.35
31-Jul-75,0.7913,0.4648,297.55
1-Aug-75,0.7914,0.4652,297.82
4-Aug-75,0.791,0.467,297.9
5-Aug-75,0.7871,0.4671,297.97
6-Aug-75,0.7901,0.4698,297.92
7-Aug-75,0.7949,0.4754,297.87
8-Aug-75,0.7939,0.4755,297.65
11-Aug-75,0.7954,0.4757,297.77
12-Aug-75,0.7955,0.4753,297.92
13-Aug-75,0.7946,0.4744,297.92
14-Aug-75,0.7933,0.4744,297.92
15-Aug-75,0.7927,0.4743,297.93
18-Aug-75,0.7915,0.4744,298.1
19-Aug-75,0.7882,0.4723,298.07
20-Aug-75,0.7897,0.4719,297.87
21-Aug-75,0.7899,0.4736,297.97
22-Aug-75,0.7908,0.4748,297.52
26-Aug-75,0.7931,0.4741,298.02
27-Aug-75,0.7934,0.474,297.88
28-Aug-75,0.7939,0.474,297.94
29-Aug-75,0.7948,0.4739,297.97
1-Sep-75,0.7963,0.4746,297.95
2-Sep-75,0.7957,0.4742,297.82
3-Sep-75,0.7936,0.4735,297.7
4-Sep-75,0.7955,0.4744,297.87
5-Sep-75,0.796,0.4742,297.9
8-Sep-75,0.7959,0.4739,297.96
9-Sep-75,0.7952,0.4733,297.97
10-Sep-75,0.7973,0.4739,297.95
11-Sep-75,0.7981,0.4739,298.02
12-Sep-75,0.7994,0.4746,298
15-Sep-75,0.8004,0.4753,298.07
16-Sep-75,0.8054,0.4787,298.07
17-Sep-75,0.8094,0.4805,298.25
18-Sep-75,0.8114,0.481,300.07
19-Sep-75,0.8131,0.4808,301.32
22-Sep-75,0.8191,0.4826,302.7
23-Sep-75,0.8245,0.4892,303.22
24-Sep-75,0.8215,0.4895,303.02
25-Sep-75,0.8174,0.4883,302.65
26-Sep-75,0.8202,0.489,301.8
29-Sep-75,0.8233,0.4912,303
30-Sep-75,0.8168,0.4895,302.7
1-Oct-75,0.809,0.4904,302.45
2-Oct-75,0.8086,0.4904,302.45
3-Oct-75,0.8137,0.4909,302.85
6-Oct-75,0.809,0.4895,303
7-Oct-75,0.8052,0.4897,302.95
8-Oct-75,0.8074,0.4895,303.07
9-Oct-75,0.8053,0.4883,302.97
10-Oct-75,0.7989,0.4859,302.95
13-Oct-75,0.7955,0.4854,302.85
14-Oct-75,0.8033,0.4885,302.6
15-Oct-75,0.7971,0.4864,302.67
16-Oct-75,0.7943,0.4864,302.75
17-Oct-75,0.7958,0.4864,302.8
20-Oct-75,0.7959,0.4854,302.45
21-Oct-75,0.7947,0.4852,300.9
22-Oct-75,0.7916,0.4819,301.5
23-Oct-75,0.7929,0.4836,301.82
24-Oct-75,0.793,0.4833,301.65
27-Oct-75,0.7945,0.4836,301.37
28-Oct-75,0.7954,0.4838,301.55
29-Oct-75,0.7954,0.4836,301.52
30-Oct-75,0.7915,0.4822,301.62
31-Oct-75,0.7914,0.4812,301.7
3-Nov-75,0.7911,0.4822,301.62
4-Nov-75,0.7929,0.4831,302.08
5-Nov-75,0.7958,0.4845,301.75
6-Nov-75,0.7935,0.4833,301.67
7-Nov-75,0.7938,0.4847,301.85
10-Nov-75,0.7942,0.484,302.2
11-Nov-75,0.7955,0.4847,302.35
12-Nov-75,0.7948,0.4845,301.92
13-Nov-75,0.7965,0.4859,302.15
14-Nov-75,0.8009,0.4892,302.5
17-Nov-75,0.8071,0.4916,302.75
18-Nov-75,0.806,0.4909,302.95
19-Nov-75,0.8043,0.49,302.95
20-Nov-75,0.8008,0.4888,302.92
21-Nov-75,0.8042,0.49,303
24-Nov-75,0.8046,0.4904,302.9
25-Nov-75,0.8038,0.4907,303
26-Nov-75,0.8069,0.4921,302.05
27-Nov-75,0.8081,0.4926,303.02
28-Nov-75,0.81,0.495,303.07
1-Dec-75,0.8086,0.495,304.45
2-Dec-75,0.8071,0.4948,304.3
3-Dec-75,0.8077,0.4943,305.05
4-Dec-75,0.807,0.4931,304.95
5-Dec-75,0.808,0.4938,306.65
8-Dec-75,0.8081,0.4946,306.75
9-Dec-75,0.8103,0.4946,306.05
10-Dec-75,0.8098,0.4943,306.01
11-Dec-75,0.81,0.4948,305.85
12-Dec-75,0.8111,0.4955,305.9
15-Dec-75,0.813,0.4958,305.7
16-Dec-75,0.8123,0.4953,305.5
17-Dec-75,0.811,0.4943,305.6
18-Dec-75,0.8094,0.4946,305.8
19-Dec-75,0.8087,0.4958,306
22-Dec-75,0.8081,0.495,306
23-Dec-75,0.8072,0.4946,305.77
24-Dec-75,0.8062,0.4943,305.9
29-Dec-75,0.8094,0.4946,305.2
30-Dec-75,0.8096,0.4941,305.02
31-Dec-75,0.8093,0.4943,305.07
2-Jan-76,0.8093,0.4941,305.05
5-Jan-76,0.8048,0.4921,305.05
6-Jan-76,0.8045,0.4924,304.92
7-Jan-76,0.804,0.4916,304.2
8-Jan-76,0.8045,0.4916,305.65
9-Jan-76,0.806,0.4924,305.92
12-Jan-76,0.8062,0.4921,305.1
13-Jan-76,0.8079,0.4941,305.25
14-Jan-76,0.8063,0.4933,305.3
15-Jan-76,0.8066,0.4933,305.32
16-Jan-76,0.8073,0.4931,305.1
19-Jan-76,0.807,0.4919,304.15
20-Jan-76,0.8084,0.4924,303.7
21-Jan-76,0.8135,0.4943,304.5
22-Jan-76,0.8176,0.495,304.02
23-Jan-76,0.8162,0.4943,303.87
26-Jan-76,0.8152,0.4938,303.65
27-Jan-76,0.8152,0.4938,303.7
28-Jan-76,0.816,0.4929,303.5
29-Jan-76,0.817,0.4931,303.7
30-Jan-76,0.8178,0.4929,303.67
2-Feb-76,0.8148,0.4931,303.2
3-Feb-76,0.8164,0.4931,302.7
4-Feb-76,0.814,0.4924,300.35
5-Feb-76,0.8145,0.4931,301.27
6-Feb-76,0.8155,0.4933,301.4
9-Feb-76,0.8191,0.4931,300.67
10-Feb-76,0.819,0.4936,300.55
11-Feb-76,0.8165,0.4931,300.32
12-Feb-76,0.8176,0.4936,300.27
13-Feb-76,0.8196,0.4938,300.75
16-Feb-76,0.8212,0.4943,301.6
17-Feb-76,0.8236,0.4943,301.55
18-Feb-76,0.8217,0.4941,301.6
19-Feb-76,0.8212,0.4943,301.68
20-Feb-76,0.8236,0.4941,302.12
23-Feb-76,0.8248,0.4941,302.47
24-Feb-76,0.8246,0.4938,302
25-Feb-76,0.8246,0.4936,302
26-Feb-76,0.8237,0.4936,302.16
27-Feb-76,0.8246,0.4938,302.15
1-Mar-76,0.828,0.4941,301.6
2-Mar-76,0.8295,0.4941,301.7
