SERIES,DESCRIPTION
XUDLADD,Spot exchange rate - Australian Dollar into US $
XUDLBK74,Spot exchange rate - South Korean Won into Dollar
XUDLERD,Spot exchange rate - Euro into US $
XUDLGBD,Spot exchange rate - Sterling into US$
XUDLJYD,Spot exchange rate - Japanese Yen into US $
XUDLNDD,Spot exchange rate - New Zealand Dollar into US $
XUDLSFD,Spot exchange rate - Swiss Franc into US $

DATE,XUDLADD,XUDLBK74,XUDLERD,XUDLGBD,XUDLJYD,XUDLNDD,XUDLSFD
02 Jan 2013,0.9526,1063.5,0.7553,0.6141,87.18,1.1998,0.9138
03 Jan 2013,0.9502,1063.38,0.7637,0.6188,86.85,1.2011,0.9234
04 Jan 2013,0.9566,1062.85,0.7666,0.6236,88.05,1.2064,0.9264
07 Jan 2013,0.9541,1062.7,0.7635,0.6218,87.73,1.1982,0.9229
08 Jan 2013,0.9537,1063.35,0.7653,0.6236,87.14,1.1977,0.9251
09 Jan 2013,0.9516,1060.48,0.7667,0.6247,87.85,1.1926,0.9271
10 Jan 2013,0.9461,1058.57,0.7567,0.6208,88.18,1.1871,0.9165
11 Jan 2013,0.9479,1055.3,0.7493,0.6202,89.07,1.192,0.9123
14 Jan 2013,0.9472,1056.45,0.7481,0.6224,89.25,1.1909,0.917
15 Jan 2013,0.9479,1057.57,0.7491,0.6215,88.65,1.1923,0.9277
16 Jan 2013,0.9475,1059.085,0.7521,0.6252,88.49,1.1903,0.9305
17 Jan 2013,0.9497,1057.995,0.7487,0.6262,89.42,1.1903,0.9329
18 Jan 2013,0.9527,1058.545,0.7524,0.6304,89.94,1.1976,0.9354
21 Jan 2013,0.9518,1064,0.751,0.6316,89.8,1.1976,0.9322
22 Jan 2013,0.9473,1063.4,0.7527,0.6302,88.54,1.1895,0.9295
23 Jan 2013,0.9479,1067.29,0.7529,0.6312,88.55,1.1862,0.9286
24 Jan 2013,0.9547,1067.895,0.7478,0.6336,89.99,1.1915,0.9303
25 Jan 2013,0.9579,1075.58,0.7421,0.6326,90.98,1.1922,0.923
28 Jan 2013,0.9608,1091,0.7428,0.6366,90.62,1.2035,0.9271
