"Date","Spot exchange rate, Australian Dollar into US $                          XUDLADD"
"04 Oct 18","1.412"
"03 Oct 18","1.398"
"02 Oct 18","1.3895"
"01 Oct 18","1.3852"
"28 Sep 18","1.3822"
"27 Sep 18","1.385"
"26 Sep 18","1.3776"
"25 Sep 18","1.3787"
"24 Sep 18","1.3765"
"21 Sep 18","1.3719"
"20 Sep 18","1.3746"
"19 Sep 18","1.3768"
"18 Sep 18","1.3873"
"17 Sep 18","1.3926"
"14 Sep 18","1.3926"
"13 Sep 18","1.3916"
"12 Sep 18","1.4011"
"11 Sep 18","1.4094"
"10 Sep 18","1.4047"
"07 Sep 18","1.3996"
"06 Sep 18","1.3875"
"05 Sep 18","1.3908"
"04 Sep 18","1.3924"
"03 Sep 18","1.3852"
"31 Aug 18","1.3837"
"30 Aug 18","1.3729"
"29 Aug 18","1.3716"
"28 Aug 18","1.3609"
"24 Aug 18","1.3646"
"23 Aug 18","1.3755"
"22 Aug 18","1.3602"
"21 Aug 18","1.3611"
"20 Aug 18","1.3686"
"17 Aug 18","1.3732"
"16 Aug 18","1.3749"
"15 Aug 18","1.3852"
"14 Aug 18","1.378"
"13 Aug 18","1.3725"
"10 Aug 18","1.3657"
"09 Aug 18","1.3515"
"08 Aug 18","1.3479"
"07 Aug 18","1.3472"
"06 Aug 18","1.3535"
"03 Aug 18","1.351"
"02 Aug 18","1.3563"
"01 Aug 18","1.3504"
"31 Jul 18","1.3452"
"30 Jul 18","1.3497"
"27 Jul 18","1.3503"
"26 Jul 18","1.3535"
"25 Jul 18","1.3503"
"24 Jul 18","1.347"
"23 Jul 18","1.3543"
"20 Jul 18","1.3499"
"19 Jul 18","1.3617"
"18 Jul 18","1.355"
"17 Jul 18","1.3528"
"16 Jul 18","1.3479"
"13 Jul 18","1.3495"
"12 Jul 18","1.3508"
"11 Jul 18","1.3495"
"10 Jul 18","1.3396"
"09 Jul 18","1.3392"
"06 Jul 18","1.3468"
"05 Jul 18","1.3539"
"04 Jul 18","1.3556"
"03 Jul 18","1.3557"
"02 Jul 18","1.3648"
"29 Jun 18","1.3539"
"28 Jun 18","1.3611"
"27 Jun 18","1.3548"
"26 Jun 18","1.3524"
"25 Jun 18","1.3514"
"22 Jun 18","1.3481"
"21 Jun 18","1.3554"
"20 Jun 18","1.3561"
"19 Jun 18","1.3574"
"18 Jun 18","1.3472"
"15 Jun 18","1.3423"
"14 Jun 18","1.3261"
"13 Jun 18","1.3165"
"12 Jun 18","1.3135"
"11 Jun 18","1.3137"
"08 Jun 18","1.3163"
"07 Jun 18","1.3087"
"06 Jun 18","1.3043"
"05 Jun 18","1.3153"
"04 Jun 18","1.308"
"01 Jun 18","1.3228"
"31 May 18","1.3215"
"30 May 18","1.3236"
"29 May 18","1.3305"
"25 May 18","1.324"
"24 May 18","1.3219"
"23 May 18","1.3245"
"22 May 18","1.3182"
"21 May 18","1.323"
"18 May 18","1.3301"
"17 May 18","1.3301"
"16 May 18","1.3326"
"15 May 18","1.3378"
"14 May 18","1.324"
"11 May 18","1.3254"
"10 May 18","1.3339"
"09 May 18","1.3403"
"08 May 18","1.3426"
"04 May 18","1.3293"
"03 May 18","1.3323"
"02 May 18","1.3342"
"01 May 18","1.3367"
"30 Apr 18","1.3249"
"27 Apr 18","1.3214"
"26 Apr 18","1.3236"
"25 Apr 18","1.3224"
"24 Apr 18","1.317"
"23 Apr 18","1.3127"
"20 Apr 18","1.3029"
"19 Apr 18","1.2865"
"18 Apr 18","1.2834"
"17 Apr 18","1.2868"
"16 Apr 18","1.2858"
"13 Apr 18","1.2863"
"12 Apr 18","1.2888"
"11 Apr 18","1.2868"
"10 Apr 18","1.2898"
"09 Apr 18","1.3002"
"06 Apr 18","1.3016"
"05 Apr 18","1.3011"
"04 Apr 18","1.2985"
"03 Apr 18","1.3033"
"29 Mar 18","1.3034"
"28 Mar 18","1.304"
"27 Mar 18","1.2972"
"26 Mar 18","1.2962"
"23 Mar 18","1.2952"
"22 Mar 18","1.2995"
"21 Mar 18","1.2975"
"20 Mar 18","1.3004"
"19 Mar 18","1.2982"
"16 Mar 18","1.2932"
"15 Mar 18","1.2798"
"14 Mar 18","1.27"
"13 Mar 18","1.2689"
"12 Mar 18","1.2718"
"09 Mar 18","1.276"
"08 Mar 18","1.2852"
"07 Mar 18","1.2804"
"06 Mar 18","1.2798"
"05 Mar 18","1.2905"
"02 Mar 18","1.2913"
"01 Mar 18","1.2909"
"28 Feb 18","1.2835"
"27 Feb 18","1.2804"
"26 Feb 18","1.2753"
"23 Feb 18","1.2786"
"22 Feb 18","1.274"
"21 Feb 18","1.2747"
"20 Feb 18","1.2658"
"19 Feb 18","1.2645"
"16 Feb 18","1.2618"
"15 Feb 18","1.2665"
"14 Feb 18","1.269"
"13 Feb 18","1.2723"
"12 Feb 18","1.2778"
"09 Feb 18","1.2817"
"08 Feb 18","1.2825"
"07 Feb 18","1.2736"
"06 Feb 18","1.2695"
"05 Feb 18","1.2596"
"02 Feb 18","1.2593"
"01 Feb 18","1.246"
"31 Jan 18","1.235"
"30 Jan 18","1.2366"
"29 Jan 18","1.2356"
"26 Jan 18","1.2356"
"25 Jan 18","1.2353"
"24 Jan 18","1.2393"
"23 Jan 18","1.2503"
"22 Jan 18","1.2466"
"19 Jan 18","1.2497"
"18 Jan 18","1.252"
"17 Jan 18","1.2536"
"16 Jan 18","1.2566"
"15 Jan 18","1.2542"
"12 Jan 18","1.2671"
"11 Jan 18","1.2697"
"10 Jan 18","1.2742"
"09 Jan 18","1.2788"
"08 Jan 18","1.276"
"05 Jan 18","1.2726"
"04 Jan 18","1.2721"
"03 Jan 18","1.2765"
"02 Jan 18","1.2768"
"29 Dec 17","1.2788"
"28 Dec 17","1.2834"
"27 Dec 17","1.2877"
"22 Dec 17","1.2955"
"21 Dec 17","1.2994"
"20 Dec 17","1.3043"
"19 Dec 17","1.3072"
"18 Dec 17","1.3031"
"15 Dec 17","1.3074"
"14 Dec 17","1.3041"
"13 Dec 17","1.3135"
"12 Dec 17","1.3242"
"11 Dec 17","1.3257"
"08 Dec 17","1.3312"
"07 Dec 17","1.3287"
"06 Dec 17","1.3203"
"05 Dec 17","1.3139"
"04 Dec 17","1.3165"
"01 Dec 17","1.3167"
"30 Nov 17","1.3168"
"29 Nov 17","1.3201"
"28 Nov 17","1.316"
"27 Nov 17","1.3122"
"24 Nov 17","1.312"
"23 Nov 17","1.3116"
"22 Nov 17","1.318"
"21 Nov 17","1.3191"
"20 Nov 17","1.3236"
"17 Nov 17","1.3243"
"16 Nov 17","1.3168"
"15 Nov 17","1.3187"
"14 Nov 17","1.3123"
"13 Nov 17","1.3092"
"10 Nov 17","1.3031"
"09 Nov 17","1.3055"
"08 Nov 17","1.3038"
"07 Nov 17","1.3091"
"06 Nov 17","1.3051"
"03 Nov 17","1.3072"
"02 Nov 17","1.295"
"01 Nov 17","1.3029"
"31 Oct 17","1.3041"
"30 Oct 17","1.3024"
"27 Oct 17","1.3067"
"26 Oct 17","1.3029"
"25 Oct 17","1.2984"
"24 Oct 17","1.2862"
"23 Oct 17","1.2809"
"20 Oct 17","1.2791"
"19 Oct 17","1.2686"
"18 Oct 17","1.276"
"17 Oct 17","1.2768"
"16 Oct 17","1.2718"
"13 Oct 17","1.2677"
"12 Oct 17","1.2781"
"11 Oct 17","1.286"
"10 Oct 17","1.2832"
"09 Oct 17","1.288"
"06 Oct 17","1.2882"
"05 Oct 17","1.2814"
"04 Oct 17","1.2731"
"03 Oct 17","1.278"
"02 Oct 17","1.278"
"29 Sep 17","1.2744"
"28 Sep 17","1.2762"
"27 Sep 17","1.2718"
"26 Sep 17","1.2702"
"25 Sep 17","1.259"
"22 Sep 17","1.2533"
"21 Sep 17","1.2602"
"20 Sep 17","1.2393"
"19 Sep 17","1.2497"
"18 Sep 17","1.2544"
"15 Sep 17","1.2492"
"14 Sep 17","1.2534"
"13 Sep 17","1.2506"
"12 Sep 17","1.2446"
