"Date","Spot exchange rate, Canadian Dollar into US $                          XUDLCDD"
"04 Oct 18","1.2884"
"03 Oct 18","1.2822"
"02 Oct 18","1.2821"
"01 Oct 18","1.2826"
"28 Sep 18","1.2927"
"27 Sep 18","1.3068"
"26 Sep 18","1.2968"
"25 Sep 18","1.2952"
"24 Sep 18","1.2932"
"21 Sep 18","1.2914"
"20 Sep 18","1.2907"
"19 Sep 18","1.2961"
"18 Sep 18","1.2992"
"17 Sep 18","1.303"
"14 Sep 18","1.3036"
"13 Sep 18","1.3013"
"12 Sep 18","1.3009"
"11 Sep 18","1.3145"
"10 Sep 18","1.3163"
"07 Sep 18","1.3158"
"06 Sep 18","1.3197"
"05 Sep 18","1.3187"
"04 Sep 18","1.3182"
"03 Sep 18","1.3076"
"31 Aug 18","1.304"
"30 Aug 18","1.2973"
"29 Aug 18","1.295"
"28 Aug 18","1.2914"
"24 Aug 18","1.304"
"23 Aug 18","1.3048"
"22 Aug 18","1.3029"
"21 Aug 18","1.3047"
"20 Aug 18","1.3074"
"17 Aug 18","1.3085"
"16 Aug 18","1.3148"
"15 Aug 18","1.3169"
"14 Aug 18","1.3084"
"13 Aug 18","1.3108"
"10 Aug 18","1.3083"
"09 Aug 18","1.3038"
"08 Aug 18","1.3063"
"07 Aug 18","1.3024"
"06 Aug 18","1.3005"
"03 Aug 18","1.2978"
"02 Aug 18","1.3016"
"01 Aug 18","1.2983"
"31 Jul 18","1.3022"
"30 Jul 18","1.2999"
"27 Jul 18","1.3061"
"26 Jul 18","1.3083"
"25 Jul 18","1.3122"
"24 Jul 18","1.3144"
"23 Jul 18","1.3145"
"20 Jul 18","1.313"
"19 Jul 18","1.3251"
"18 Jul 18","1.322"
"17 Jul 18","1.3187"
"16 Jul 18","1.3128"
"13 Jul 18","1.3165"
"12 Jul 18","1.317"
"11 Jul 18","1.3125"
"10 Jul 18","1.3124"
"09 Jul 18","1.3097"
"06 Jul 18","1.3098"
"05 Jul 18","1.3132"
"04 Jul 18","1.3157"
"03 Jul 18","1.3166"
"02 Jul 18","1.3199"
"29 Jun 18","1.3156"
"28 Jun 18","1.3264"
"27 Jun 18","1.3288"
"26 Jun 18","1.3307"
"25 Jun 18","1.3306"
"22 Jun 18","1.3338"
"21 Jun 18","1.3304"
"20 Jun 18","1.3294"
"19 Jun 18","1.3269"
"18 Jun 18","1.3211"
"15 Jun 18","1.3184"
"14 Jun 18","1.3041"
"13 Jun 18","1.2975"
"12 Jun 18","1.2988"
"11 Jun 18","1.3006"
"08 Jun 18","1.2963"
"07 Jun 18","1.2974"
"06 Jun 18","1.2908"
"05 Jun 18","1.3006"
"04 Jun 18","1.2928"
"01 Jun 18","1.2955"
"31 May 18","1.2972"
"30 May 18","1.2879"
"29 May 18","1.3014"
"25 May 18","1.2981"
"24 May 18","1.2902"
"23 May 18","1.288"
"22 May 18","1.2777"
"21 May 18","1.2846"
"18 May 18","1.2873"
"17 May 18","1.2794"
"16 May 18","1.2805"
"15 May 18","1.2889"
"14 May 18","1.277"
"11 May 18","1.2785"
"10 May 18","1.2813"
"09 May 18","1.2865"
"08 May 18","1.297"
"04 May 18","1.2867"
"03 May 18","1.2895"
"02 May 18","1.2849"
"01 May 18","1.2901"
"30 Apr 18","1.2819"
"27 Apr 18","1.2863"
"26 Apr 18","1.2874"
"25 Apr 18","1.2876"
"24 Apr 18","1.2826"
