"Date","Spot exchange rate, Deutschemark into US $                          XUDLDMD"
"31 Dec 01","2.1966"
"28 Dec 01","2.2177"
"27 Dec 01","2.2062"
"24 Dec 01","2.2276"
"21 Dec 01","2.2055"
"20 Dec 01","2.1799"
"19 Dec 01","2.1775"
"18 Dec 01","2.1693"
"17 Dec 01","2.1616"
"14 Dec 01","2.1664"
"13 Dec 01","2.179"
"12 Dec 01","2.1848"
"11 Dec 01","2.2005"
"10 Dec 01","2.2013"
"07 Dec 01","2.1956"
"06 Dec 01","2.1941"
"05 Dec 01","2.2023"
"04 Dec 01","2.1939"
"03 Dec 01","2.1953"
"30 Nov 01","2.1846"
"29 Nov 01","2.206"
"28 Nov 01","2.2072"
"27 Nov 01","2.219"
"26 Nov 01","2.2243"
"23 Nov 01","2.2312"
"22 Nov 01","2.2248"
"21 Nov 01","2.2327"
"20 Nov 01","2.2155"
"19 Nov 01","2.2251"
"16 Nov 01","2.209"
"15 Nov 01","2.22"
"14 Nov 01","2.2132"
"13 Nov 01","2.2177"
"12 Nov 01","2.1836"
"09 Nov 01","2.1885"
"08 Nov 01","2.1921"
"07 Nov 01","2.1741"
"06 Nov 01","2.1809"
"05 Nov 01","2.1811"
"02 Nov 01","2.164"
"01 Nov 01","2.1585"
"31 Oct 01","2.1715"
"30 Oct 01","2.1523"
"29 Oct 01","2.1628"
"26 Oct 01","2.1919"
"25 Oct 01","2.1824"
"24 Oct 01","2.1919"
"23 Oct 01","2.2013"
"22 Oct 01","2.1941"
"19 Oct 01","2.1797"
"18 Oct 01","2.1664"
"17 Oct 01","2.1573"
"16 Oct 01","2.1519"
"15 Oct 01","2.1547"
"12 Oct 01","2.1595"
"11 Oct 01","2.171"
"10 Oct 01","2.146"
"09 Oct 01","2.1301"
"08 Oct 01","2.1284"
"05 Oct 01","2.1289"
"04 Oct 01","2.1415"
"03 Oct 01","2.1245"
"02 Oct 01","2.1347"
"01 Oct 01","2.1361"
"28 Sep 01","2.1467"
"27 Sep 01","2.0851"
"26 Sep 01","2.1234"
"25 Sep 01","2.1234"
"24 Sep 01","2.1176"
"21 Sep 01","2.1359"
"20 Sep 01","2.1359"
"19 Sep 01","2.1098"
"18 Sep 01","2.1039"
"17 Sep 01","2.1215"
"14 Sep 01","2.1247"
"13 Sep 01","2.1247"
"12 Sep 01","2.153"
"11 Sep 01","2.1595"
"10 Sep 01","2.154"
"07 Sep 01","2.165"
"06 Sep 01","2.165"
"05 Sep 01","2.1948"
"04 Sep 01","2.1961"
"03 Sep 01","2.1961"
"31 Aug 01","2.153"
"30 Aug 01","2.153"
"29 Aug 01","2.1512"
"28 Aug 01","2.1486"
"24 Aug 01","2.1424"
"23 Aug 01","2.1424"
"22 Aug 01","2.142"
"21 Aug 01","2.1241"
"20 Aug 01","2.1431"
"17 Aug 01","2.134"
"16 Aug 01","2.134"
"15 Aug 01","2.1427"
"14 Aug 01","2.1462"
"13 Aug 01","2.178"
"10 Aug 01","2.1841"
"09 Aug 01","2.1841"
"08 Aug 01","2.2"
"07 Aug 01","2.2319"
"06 Aug 01","2.2309"
"03 Aug 01","2.2082"
"02 Aug 01","2.2082"
"01 Aug 01","2.2175"
"31 Jul 01","2.2251"
"30 Jul 01","2.2365"
"27 Jul 01","2.2393"
"26 Jul 01","2.2393"
"25 Jul 01","2.2306"
"24 Jul 01","2.2251"
"23 Jul 01","2.237"
"20 Jul 01","2.2406"
"19 Jul 01","2.2406"
"18 Jul 01","2.2499"
"17 Jul 01","2.2447"
"16 Jul 01","2.2967"
"13 Jul 01","2.2964"
"12 Jul 01","2.2964"
"11 Jul 01","2.2948"
"10 Jul 01","2.2708"
"09 Jul 01","2.2851"
"06 Jul 01","2.3143"
"05 Jul 01","2.3143"
"04 Jul 01","2.3381"
"03 Jul 01","2.3124"
"02 Jul 01","2.3099"
"29 Jun 01","2.308"
"28 Jun 01","2.308"
"27 Jun 01","2.305"
"26 Jun 01","2.2745"
"25 Jun 01","2.2697"
"22 Jun 01","2.2897"
"21 Jun 01","2.2897"
"20 Jun 01","2.2913"
"19 Jun 01","2.2958"
"18 Jun 01","2.2809"
"15 Jun 01","2.2684"
"14 Jun 01","2.2684"
"13 Jun 01","2.2753"
"12 Jun 01","2.2972"
"11 Jun 01","2.3034"
"08 Jun 01","2.3056"
"07 Jun 01","2.3056"
"06 Jun 01","2.3004"
"05 Jun 01","2.3097"
"04 Jun 01","2.3064"
"01 Jun 01","2.311"
"31 May 01","2.311"
"30 May 01","2.3099"
"29 May 01","2.2822"
"25 May 01","2.2824"
"24 May 01","2.2824"
"23 May 01","2.2806"
"22 May 01","2.2721"
"21 May 01","2.2572"
"18 May 01","2.2306"
"17 May 01","2.2306"
"16 May 01","2.2195"
"15 May 01","2.212"
"14 May 01","2.2263"
"11 May 01","2.2327"
"10 May 01","2.2327"
"09 May 01","2.2145"
"08 May 01","2.2122"
"04 May 01","2.185"
"03 May 01","2.185"
"02 May 01","2.1887"
"01 May 01","2.1934"
"30 Apr 01","2.1951"
"27 Apr 01","2.1912"
"26 Apr 01","2.1912"
"25 Apr 01","2.1688"
"24 Apr 01","2.1797"
"23 Apr 01","2.1875"
"20 Apr 01","2.1703"
"19 Apr 01","2.1703"
"18 Apr 01","2.2"
"17 Apr 01","2.2452"
"12 Apr 01","2.1892"
"11 Apr 01","2.1892"
"10 Apr 01","2.2102"
"09 Apr 01","2.1981"
"06 Apr 01","2.1695"
"05 Apr 01","2.1695"
"04 Apr 01","2.1809"
"03 Apr 01","2.1669"
"02 Apr 01","2.2057"
"30 Mar 01","2.2135"
"29 Mar 01","2.2135"
"28 Mar 01","2.2172"
"27 Mar 01","2.1995"
"26 Mar 01","2.176"
"23 Mar 01","2.1902"
"22 Mar 01","2.1902"
"21 Mar 01","2.214"
"20 Mar 01","2.1794"
"19 Mar 01","2.1659"
"16 Mar 01","2.1804"
"15 Mar 01","2.1804"
"14 Mar 01","2.1576"
"13 Mar 01","2.1453"
"12 Mar 01","2.1324"
"09 Mar 01","2.0985"
"08 Mar 01","2.0985"
"07 Mar 01","2.099"
"06 Mar 01","2.108"
"05 Mar 01","2.1024"
"02 Mar 01","2.0902"
"01 Mar 01","2.0902"
"28 Feb 01","2.1035"
"27 Feb 01","2.1266"
"26 Feb 01","2.1303"
"23 Feb 01","2.1535"
"22 Feb 01","2.1535"
"21 Feb 01","2.1545"
"20 Feb 01","2.145"
"19 Feb 01","2.1512"
"16 Feb 01","2.1357"
"15 Feb 01","2.1357"
"14 Feb 01","2.1642"
"13 Feb 01","2.1296"
"12 Feb 01","2.1234"
"09 Feb 01","2.1169"
"08 Feb 01","2.1169"
"07 Feb 01","2.1296"
"06 Feb 01","2.0974"
"05 Feb 01","2.0992"
"02 Feb 01","2.0954"
"01 Feb 01","2.0954"
"31 Jan 01","2.0802"
"30 Jan 01","2.1028"
"29 Jan 01","2.1165"
"26 Jan 01","2.1208"
"25 Jan 01","2.1208"
"24 Jan 01","2.1252"
"23 Jan 01","2.1195"
"22 Jan 01","2.0818"
"19 Jan 01","2.0902"
"18 Jan 01","2.0902"
"17 Jan 01","2.0703"
"16 Jan 01","2.1021"
"15 Jan 01","2.0791"
"12 Jan 01","2.0618"
"11 Jan 01","2.0618"
"10 Jan 01","2.0579"
"09 Jan 01","2.0796"
"08 Jan 01","2.0791"
"05 Jan 01","2.0547"
"04 Jan 01","2.0547"
"03 Jan 01","2.0705"
"02 Jan 01","2.0683"
"29 Dec 00","2.0851"
"28 Dec 00","2.1135"
"27 Dec 00","2.1021"
"22 Dec 00","2.1178"
"21 Dec 00","2.1396"
"20 Dec 00","2.1573"
"19 Dec 00","2.1948"
"18 Dec 00","2.1836"
"15 Dec 00","2.1794"
"14 Dec 00","2.204"
"13 Dec 00","2.2345"
"12 Dec 00","2.2301"
"11 Dec 00","2.2281"
"08 Dec 00","2.2025"
"07 Dec 00","2.1983"
"06 Dec 00","2.2107"
"05 Dec 00","2.2105"
"04 Dec 00","2.1995"
"01 Dec 00","2.2409"
"30 Nov 00","2.2465"
"29 Nov 00","2.275"
"28 Nov 00","2.2875"
"27 Nov 00","2.3031"
"24 Nov 00","2.3292"
"23 Nov 00","2.3223"
"22 Nov 00","2.3193"
"21 Nov 00","2.3129"
"20 Nov 00","2.304"
"17 Nov 00","2.2934"
"16 Nov 00","2.2894"
"15 Nov 00","2.2753"
"14 Nov 00","2.2795"
"13 Nov 00","2.274"
"10 Nov 00","2.2658"
"09 Nov 00","2.2769"
"08 Nov 00","2.283"
"07 Nov 00","2.2724"
"06 Nov 00","2.2711"
"03 Nov 00","2.2655"
"02 Nov 00","2.2737"
"01 Nov 00","2.2809"
"31 Oct 00","2.3083"
"30 Oct 00","2.3151"
"27 Oct 00","2.322"
"26 Oct 00","2.3601"
"25 Oct 00","2.361"
"24 Oct 00","2.3364"
"23 Oct 00","2.3401"
"20 Oct 00","2.3348"
"19 Oct 00","2.3298"
"18 Oct 00","2.3067"
"17 Oct 00","2.3015"
"16 Oct 00","2.305"
"13 Oct 00","2.2755"
"12 Oct 00","2.2687"
"11 Oct 00","2.238"
"10 Oct 00","2.2522"
"09 Oct 00","2.2507"
"06 Oct 00","2.2486"
"05 Oct 00","2.2496"
"04 Oct 00","2.2414"
"03 Oct 00","2.2319"
"02 Oct 00","2.219"
"29 Sep 00","2.2157"
"28 Sep 00","2.2157"
"27 Sep 00","2.2195"
"26 Sep 00","2.2225"
"25 Sep 00","2.2396"
"22 Sep 00","2.2188"
"21 Sep 00","2.2932"
"20 Sep 00","2.3078"
"19 Sep 00","2.2913"
"18 Sep 00","2.2918"
"15 Sep 00","2.2674"
"14 Sep 00","2.2703"
"13 Sep 00","2.2632"
"12 Sep 00","2.2747"
"11 Sep 00","2.2676"
"08 Sep 00","2.2579"
"07 Sep 00","2.2458"
