"Date","Spot exchange rate, Euro into US $                          XUDLERD"
"04 Oct 18","0.8679"
"03 Oct 18","0.8667"
"02 Oct 18","0.8655"
"01 Oct 18","0.8633"
"28 Sep 18","0.861"
"27 Sep 18","0.8565"
"26 Sep 18","0.8511"
"25 Sep 18","0.8485"
"24 Sep 18","0.8482"
"21 Sep 18","0.8504"
"20 Sep 18","0.8508"
"19 Sep 18","0.857"
"18 Sep 18","0.8547"
"17 Sep 18","0.8554"
"14 Sep 18","0.8572"
"13 Sep 18","0.8567"
"12 Sep 18","0.8604"
"11 Sep 18","0.8633"
"10 Sep 18","0.8618"
"07 Sep 18","0.8633"
"06 Sep 18","0.8598"
"05 Sep 18","0.8602"
"04 Sep 18","0.8654"
"03 Sep 18","0.86"
"31 Aug 18","0.8595"
"30 Aug 18","0.8577"
"29 Aug 18","0.8553"
"28 Aug 18","0.8538"
"24 Aug 18","0.86"
"23 Aug 18","0.8639"
"22 Aug 18","0.8621"
"21 Aug 18","0.8681"
"20 Aug 18","0.8747"
"17 Aug 18","0.8765"
"16 Aug 18","0.8778"
"15 Aug 18","0.8839"
"14 Aug 18","0.8794"
"13 Aug 18","0.8757"
"10 Aug 18","0.8746"
"09 Aug 18","0.8641"
"08 Aug 18","0.8621"
"07 Aug 18","0.8627"
"06 Aug 18","0.8651"
"03 Aug 18","0.8628"
"02 Aug 18","0.8612"
"01 Aug 18","0.8567"
"31 Jul 18","0.8546"
"30 Jul 18","0.8539"
"27 Jul 18","0.8581"
"26 Jul 18","0.8578"
"25 Jul 18","0.8565"
"24 Jul 18","0.8543"
"23 Jul 18","0.8543"
"20 Jul 18","0.8542"
"19 Jul 18","0.861"
"18 Jul 18","0.8588"
"17 Jul 18","0.8559"
"16 Jul 18","0.854"
"13 Jul 18","0.8571"
"12 Jul 18","0.8558"
"11 Jul 18","0.8533"
"10 Jul 18","0.8532"
"09 Jul 18","0.8504"
"06 Jul 18","0.8506"
"05 Jul 18","0.8545"
"04 Jul 18","0.859"
"03 Jul 18","0.8584"
"02 Jul 18","0.8616"
"29 Jun 18","0.8565"
"28 Jun 18","0.8635"
"27 Jun 18","0.8625"
"26 Jun 18","0.8571"
"25 Jun 18","0.8556"
"22 Jun 18","0.8593"
"21 Jun 18","0.8615"
"20 Jun 18","0.8636"
"19 Jun 18","0.8646"
"18 Jun 18","0.8612"
"15 Jun 18","0.8607"
