"Date","Spot exchange rate, New Zealand Dollar into US $                          XUDLNDD"
"04 Oct 18","1.5401"
"03 Oct 18","1.5279"
"02 Oct 18","1.5154"
"01 Oct 18","1.5117"
"28 Sep 18","1.5081"
"27 Sep 18","1.5088"
"26 Sep 18","1.5035"
"25 Sep 18","1.5031"
"24 Sep 18","1.5022"
"21 Sep 18","1.4957"
"20 Sep 18","1.4993"
"19 Sep 18","1.5117"
"18 Sep 18","1.5179"
"17 Sep 18","1.5188"
"14 Sep 18","1.5242"
"13 Sep 18","1.5246"
"12 Sep 18","1.5286"
"11 Sep 18","1.537"
"10 Sep 18","1.5295"
"07 Sep 18","1.5256"
"06 Sep 18","1.5147"
"05 Sep 18","1.5193"
"04 Sep 18","1.5279"
"03 Sep 18","1.5129"
"31 Aug 18","1.5074"
"30 Aug 18","1.5024"
"29 Aug 18","1.4923"
"28 Aug 18","1.4901"
"24 Aug 18","1.4952"
"23 Aug 18","1.5022"
"22 Aug 18","1.4928"
"21 Aug 18","1.4986"
"20 Aug 18","1.5106"
"17 Aug 18","1.5126"
"16 Aug 18","1.5156"
"15 Aug 18","1.5256"
"14 Aug 18","1.5147"
"13 Aug 18","1.5168"
"10 Aug 18","1.5117"
"09 Aug 18","1.5097"
"08 Aug 18","1.4832"
"07 Aug 18","1.4848"
"06 Aug 18","1.4852"
"03 Aug 18","1.4808"
"02 Aug 18","1.4813"
"01 Aug 18","1.4706"
"31 Jul 18","1.4684"
"30 Jul 18","1.4639"
"27 Jul 18","1.4721"
"26 Jul 18","1.4721"
"25 Jul 18","1.4699"
"24 Jul 18","1.4684"
"23 Jul 18","1.4734"
"20 Jul 18","1.4704"
"19 Jul 18","1.4863"
"18 Jul 18","1.4743"
"17 Jul 18","1.4728"
"16 Jul 18","1.4767"
"13 Jul 18","1.4791"
"12 Jul 18","1.4769"
"11 Jul 18","1.471"
"10 Jul 18","1.4639"
"09 Jul 18","1.4622"
"06 Jul 18","1.4648"
"05 Jul 18","1.4741"
"04 Jul 18","1.4797"
"03 Jul 18","1.4832"
"02 Jul 18","1.4919"
"29 Jun 18","1.4771"
"28 Jun 18","1.481"
"27 Jun 18","1.4693"
"26 Jun 18","1.4582"
"25 Jun 18","1.4512"
