"Date","Spot exchange rate, South African Rand into US $                          XUDLZRD"
"04 Oct 18","14.7613"
"03 Oct 18","14.3563"
"02 Oct 18","14.33"
"01 Oct 18","14.2013"
"28 Sep 18","14.1475"
"27 Sep 18","14.0663"
"26 Sep 18","14.2"
"25 Sep 18","14.3838"
"24 Sep 18","14.2425"
"21 Sep 18","14.3175"
"20 Sep 18","14.4225"
"19 Sep 18","14.655"
"18 Sep 18","14.8325"
"17 Sep 18","14.9025"
"14 Sep 18","14.8825"
"13 Sep 18","14.7525"
"12 Sep 18","15.0275"
"11 Sep 18","15.1563"
"10 Sep 18","15.195"
"07 Sep 18","15.1413"
"06 Sep 18","15.3875"
"05 Sep 18","15.435"
"04 Sep 18","15.2175"
"03 Sep 18","14.8588"
"31 Aug 18","14.6613"
"30 Aug 18","14.6825"
"29 Aug 18","14.415"
"28 Aug 18","14.1325"
"24 Aug 18","14.255"
"23 Aug 18","14.2838"
"22 Aug 18","14.2963"
"21 Aug 18","14.375"
"20 Aug 18","14.6388"
"17 Aug 18","14.7713"
"16 Aug 18","14.6338"
"15 Aug 18","14.6538"
"14 Aug 18","14.2088"
"13 Aug 18","14.3113"
"10 Aug 18","14.0288"
"09 Aug 18","13.5888"
"08 Aug 18","13.3888"
"07 Aug 18","13.3163"
"06 Aug 18","13.4025"
"03 Aug 18","13.2988"
"02 Aug 18","13.4013"
"01 Aug 18","13.1888"
"31 Jul 18","13.0963"
"30 Jul 18","13.145"
"27 Jul 18","13.1638"
"26 Jul 18","13.2238"
"25 Jul 18","13.2211"
"24 Jul 18","13.3"
"23 Jul 18","13.5013"
"20 Jul 18","13.44"
"19 Jul 18","13.4863"
"18 Jul 18","13.2675"
"17 Jul 18","13.225"
"16 Jul 18","13.24"
"13 Jul 18","13.2713"
"12 Jul 18","13.325"
"11 Jul 18","13.4313"
"10 Jul 18","13.3563"
"09 Jul 18","13.3688"
"06 Jul 18","13.51"
"05 Jul 18","13.5888"
"04 Jul 18","13.7163"
"03 Jul 18","13.72"
"02 Jul 18","13.87"
"29 Jun 18","13.7125"
"28 Jun 18","13.8675"
"27 Jun 18","13.7163"
"26 Jun 18","13.5338"
"25 Jun 18","13.5775"
"22 Jun 18","13.4738"
"21 Jun 18","13.6325"
"20 Jun 18","13.6663"
"19 Jun 18","13.7688"
"18 Jun 18","13.6813"
"15 Jun 18","13.405"
"14 Jun 18","13.33"
"13 Jun 18","13.2425"
"12 Jun 18","13.2063"
"11 Jun 18","13.105"
"08 Jun 18","13.095"
"07 Jun 18","12.9188"
"06 Jun 18","12.705"
"05 Jun 18","12.7688"
"04 Jun 18","12.5675"
"01 Jun 18","12.6463"
"31 May 18","12.6663"
"30 May 18","12.5675"
"29 May 18","12.6063"
"25 May 18","12.5125"
"24 May 18","12.4425"
"23 May 18","12.57"
"22 May 18","12.5975"
"21 May 18","12.8019"
"18 May 18","12.7375"
"17 May 18","12.55"
"16 May 18","12.4625"
"15 May 18","12.5888"
"14 May 18","12.285"
"11 May 18","12.2538"
"10 May 18","12.3813"
"09 May 18","12.5763"
"08 May 18","12.6275"
"04 May 18","12.59"
"03 May 18","12.7313"
"02 May 18","12.7088"
"01 May 18","12.6413"
"30 Apr 18","12.4838"
"27 Apr 18","12.3463"
"26 Apr 18","12.4288"
"25 Apr 18","12.485"
"24 Apr 18","12.3788"
"23 Apr 18","12.275"
"20 Apr 18","12.0913"
"19 Apr 18","11.94"
"18 Apr 18","11.9238"
"17 Apr 18","11.9788"
"16 Apr 18","12.0738"
"13 Apr 18","12.0838"
"12 Apr 18","11.9975"
"11 Apr 18","12.015"
"10 Apr 18","12.0513"
