"Date","Spot exchange rate, Singapore Dollar into US $                          XUDLSGD"
"04 Oct 18","1.38"
"03 Oct 18","1.376"
"02 Oct 18","1.3731"
"01 Oct 18","1.3711"
"28 Sep 18","1.3664"
"27 Sep 18","1.3663"
"26 Sep 18","1.365"
"25 Sep 18","1.3655"
"24 Sep 18","1.3642"
"21 Sep 18","1.3642"
"20 Sep 18","1.366"
"19 Sep 18","1.3702"
"18 Sep 18","1.3708"
"17 Sep 18","1.3713"
"14 Sep 18","1.372"
"13 Sep 18","1.3716"
"12 Sep 18","1.3756"
"11 Sep 18","1.3777"
"10 Sep 18","1.379"
"07 Sep 18","1.3774"
"06 Sep 18","1.3746"
"05 Sep 18","1.3764"
"04 Sep 18","1.3766"
"03 Sep 18","1.3715"
"31 Aug 18","1.3703"
"30 Aug 18","1.3672"
"29 Aug 18","1.3652"
"28 Aug 18","1.3624"
"24 Aug 18","1.3652"
"23 Aug 18","1.3719"
"22 Aug 18","1.3668"
"21 Aug 18","1.3679"
"20 Aug 18","1.3716"
"17 Aug 18","1.3727"
"16 Aug 18","1.3742"
"15 Aug 18","1.3817"
"14 Aug 18","1.375"
"13 Aug 18","1.3759"
"10 Aug 18","1.3707"
"09 Aug 18","1.3634"
"08 Aug 18","1.3636"
"07 Aug 18","1.364"
"06 Aug 18","1.3684"
"03 Aug 18","1.3654"
"02 Aug 18","1.3671"
"01 Aug 18","1.3617"
"31 Jul 18","1.3614"
"30 Jul 18","1.3609"
"27 Jul 18","1.361"
"26 Jul 18","1.3628"
"25 Jul 18","1.3633"
"24 Jul 18","1.3629"
"23 Jul 18","1.3652"
"20 Jul 18","1.3641"
"19 Jul 18","1.3719"
"18 Jul 18","1.3659"
"17 Jul 18","1.3633"
"16 Jul 18","1.3621"
"13 Jul 18","1.3669"
"12 Jul 18","1.3626"
"11 Jul 18","1.3593"
"10 Jul 18","1.3559"
"09 Jul 18","1.3559"
"06 Jul 18","1.3582"
"05 Jul 18","1.3647"
"04 Jul 18","1.3651"
"03 Jul 18","1.3662"
"02 Jul 18","1.3708"
"29 Jun 18","1.3636"
"28 Jun 18","1.3673"
"27 Jun 18","1.3641"
"26 Jun 18","1.3633"
"25 Jun 18","1.3627"
"22 Jun 18","1.3594"
"21 Jun 18","1.3579"
"20 Jun 18","1.3582"
"19 Jun 18","1.3591"
"18 Jun 18","1.3518"
"15 Jun 18","1.3499"
"14 Jun 18","1.3388"
"13 Jun 18","1.3351"
"12 Jun 18","1.3347"
"11 Jun 18","1.3344"
"08 Jun 18","1.3352"
"07 Jun 18","1.3327"
"06 Jun 18","1.3319"
"05 Jun 18","1.3365"
"04 Jun 18","1.336"
"01 Jun 18","1.3387"
"31 May 18","1.3376"
"30 May 18","1.3407"
"29 May 18","1.3469"
"25 May 18","1.3416"
"24 May 18","1.3401"
"23 May 18","1.3455"
"22 May 18","1.3395"
"21 May 18","1.3429"
"18 May 18","1.3432"
"17 May 18","1.3426"
"16 May 18","1.342"
"15 May 18","1.3438"
"14 May 18","1.3337"
"11 May 18","1.3355"
"10 May 18","1.3412"
"09 May 18","1.3421"
"08 May 18","1.3411"
"04 May 18","1.3351"
"03 May 18","1.3332"
"02 May 18","1.3367"
"01 May 18","1.3337"
"30 Apr 18","1.3241"
"27 Apr 18","1.325"
"26 Apr 18","1.3277"
"25 Apr 18","1.3293"
"24 Apr 18","1.3241"
"23 Apr 18","1.3245"
"20 Apr 18","1.3161"
"19 Apr 18","1.3092"
"18 Apr 18","1.3098"
"17 Apr 18","1.3109"
"16 Apr 18","1.3118"
"13 Apr 18","1.3115"
"12 Apr 18","1.3128"
"11 Apr 18","1.3085"
"10 Apr 18","1.309"
"09 Apr 18","1.3114"
"06 Apr 18","1.3174"
"05 Apr 18","1.3167"
"04 Apr 18","1.3132"
"03 Apr 18","1.3108"
"29 Mar 18","1.3112"
"28 Mar 18","1.31"
"27 Mar 18","1.3093"
"26 Mar 18","1.3107"
"23 Mar 18","1.3137"
"22 Mar 18","1.3167"
"21 Mar 18","1.3175"
"20 Mar 18","1.3183"
"19 Mar 18","1.3176"
"16 Mar 18","1.3174"
"15 Mar 18","1.312"
"14 Mar 18","1.3089"
"13 Mar 18","1.3106"
"12 Mar 18","1.3134"
"09 Mar 18","1.3154"
"08 Mar 18","1.3178"
"07 Mar 18","1.3151"
"06 Mar 18","1.3163"
"05 Mar 18","1.3187"
"02 Mar 18","1.3219"
"01 Mar 18","1.3272"
"28 Feb 18","1.323"
"27 Feb 18","1.3234"
