"Date","Spot exchange rate, Sterling into US$                          XUDLGBD"
"04 Oct 18","0.7677"
"03 Oct 18","0.7689"
"02 Oct 18","0.7705"
"01 Oct 18","0.7667"
"28 Sep 18","0.7668"
"27 Sep 18","0.7624"
"26 Sep 18","0.7584"
"25 Sep 18","0.7597"
"24 Sep 18","0.7611"
"21 Sep 18","0.7634"
"20 Sep 18","0.7544"
"19 Sep 18","0.7603"
"18 Sep 18","0.7602"
"17 Sep 18","0.7604"
"14 Sep 18","0.7649"
"13 Sep 18","0.7638"
"12 Sep 18","0.768"
"11 Sep 18","0.7693"
"10 Sep 18","0.7681"
"07 Sep 18","0.7721"
"06 Sep 18","0.7724"
"05 Sep 18","0.7717"
"04 Sep 18","0.7793"
"03 Sep 18","0.7761"
"31 Aug 18","0.7696"
"30 Aug 18","0.769"
"29 Aug 18","0.7693"
"28 Aug 18","0.7762"
"24 Aug 18","0.7777"
"23 Aug 18","0.7791"
"22 Aug 18","0.7746"
"21 Aug 18","0.7771"
"20 Aug 18","0.7838"
"17 Aug 18","0.7849"
"16 Aug 18","0.7859"
"15 Aug 18","0.7893"
"14 Aug 18","0.7841"
"13 Aug 18","0.7827"
"10 Aug 18","0.7827"
"09 Aug 18","0.7771"
"08 Aug 18","0.7763"
"07 Aug 18","0.772"
"06 Aug 18","0.7728"
"03 Aug 18","0.7681"
"02 Aug 18","0.7673"
"01 Aug 18","0.7621"
"31 Jul 18","0.7624"
"30 Jul 18","0.7607"
"27 Jul 18","0.7617"
"26 Jul 18","0.7605"
"25 Jul 18","0.7605"
"24 Jul 18","0.7601"
"23 Jul 18","0.7626"
"20 Jul 18","0.7632"
"19 Jul 18","0.769"
"18 Jul 18","0.7663"
"17 Jul 18","0.7598"
"16 Jul 18","0.7558"
"13 Jul 18","0.7575"
"12 Jul 18","0.7563"
"11 Jul 18","0.7548"
"10 Jul 18","0.7539"
"09 Jul 18","0.7541"
"06 Jul 18","0.7532"
"05 Jul 18","0.7563"
"04 Jul 18","0.7571"
"03 Jul 18","0.759"
"02 Jul 18","0.762"
"29 Jun 18","0.7574"
"28 Jun 18","0.7635"
"27 Jun 18","0.7606"
"26 Jun 18","0.7557"
"25 Jun 18","0.7536"
"22 Jun 18","0.7535"
"21 Jun 18","0.7543"
"20 Jun 18","0.759"
"19 Jun 18","0.7591"
"18 Jun 18","0.7552"
"15 Jun 18","0.7527"
"14 Jun 18","0.75"
"13 Jun 18","0.7481"
"12 Jun 18","0.749"
"11 Jun 18","0.7466"
"08 Jun 18","0.7465"
"07 Jun 18","0.7452"
"06 Jun 18","0.7447"
"05 Jun 18","0.7496"
"04 Jun 18","0.7501"
"01 Jun 18","0.7501"
"31 May 18","0.7514"
"30 May 18","0.7533"
"29 May 18","0.7536"
"25 May 18","0.751"
"24 May 18","0.7477"
"23 May 18","0.7496"
"22 May 18","0.7451"
"21 May 18","0.7457"
"18 May 18","0.7421"
"17 May 18","0.7405"
"16 May 18","0.7417"
"15 May 18","0.741"
"14 May 18","0.7357"
"11 May 18","0.7378"
"10 May 18","0.7426"
"09 May 18","0.7365"
"08 May 18","0.7398"
"04 May 18","0.7398"
"03 May 18","0.7382"
"02 May 18","0.7353"
"01 May 18","0.7355"
"30 Apr 18","0.7259"
"27 Apr 18","0.7249"
"26 Apr 18","0.7176"
"25 Apr 18","0.7176"
"24 Apr 18","0.7161"
"23 Apr 18","0.7168"
"20 Apr 18","0.713"
"19 Apr 18","0.7032"
"18 Apr 18","0.7025"
"17 Apr 18","0.6988"
"16 Apr 18","0.6979"
"13 Apr 18","0.7019"
"12 Apr 18","0.7026"
"11 Apr 18","0.7039"
"10 Apr 18","0.7056"
"09 Apr 18","0.7078"
"06 Apr 18","0.7101"
"05 Apr 18","0.7143"
"04 Apr 18","0.71"
"03 Apr 18","0.7124"
"29 Mar 18","0.7126"
"28 Mar 18","0.7093"
"27 Mar 18","0.707"
"26 Mar 18","0.7031"
"23 Mar 18","0.7067"
"22 Mar 18","0.7093"
"21 Mar 18","0.7111"
"20 Mar 18","0.7137"
"19 Mar 18","0.7128"
"16 Mar 18","0.7185"
"15 Mar 18","0.717"
"14 Mar 18","0.7171"
"13 Mar 18","0.7149"
"12 Mar 18","0.7195"
"09 Mar 18","0.7211"
"08 Mar 18","0.7231"
"07 Mar 18","0.7196"
"06 Mar 18","0.7203"
"05 Mar 18","0.7221"
"02 Mar 18","0.7263"
"01 Mar 18","0.7286"
"28 Feb 18","0.7257"
"27 Feb 18","0.7204"
"26 Feb 18","0.7173"
"23 Feb 18","0.7158"
"22 Feb 18","0.7175"
"21 Feb 18","0.7154"
"20 Feb 18","0.714"
"19 Feb 18","0.7146"
"16 Feb 18","0.7123"
"15 Feb 18","0.7114"
"14 Feb 18","0.7163"
"13 Feb 18","0.7204"
"12 Feb 18","0.7242"
"09 Feb 18","0.7243"
"08 Feb 18","0.7141"
"07 Feb 18","0.7203"
"06 Feb 18","0.719"
"05 Feb 18","0.7135"
"02 Feb 18","0.708"
"01 Feb 18","0.7024"
"31 Jan 18","0.7032"
"30 Jan 18","0.7086"
"29 Jan 18","0.7111"
"26 Jan 18","0.7052"
"25 Jan 18","0.6992"
"24 Jan 18","0.7031"
"23 Jan 18","0.7133"
"22 Jan 18","0.7159"
"19 Jan 18","0.7223"
"18 Jan 18","0.7204"
"17 Jan 18","0.7229"
"16 Jan 18","0.726"
"15 Jan 18","0.7245"
"12 Jan 18","0.7305"
"11 Jan 18","0.7388"
"10 Jan 18","0.7389"
"09 Jan 18","0.7394"
"08 Jan 18","0.7363"
"05 Jan 18","0.7373"
"04 Jan 18","0.7379"
"03 Jan 18","0.74"
"02 Jan 18","0.7364"
"29 Dec 17","0.7402"
"28 Dec 17","0.7443"
"27 Dec 17","0.7463"
"22 Dec 17","0.747"
"21 Dec 17","0.7488"
"20 Dec 17","0.7459"
"19 Dec 17","0.7491"
"18 Dec 17","0.7464"
"15 Dec 17","0.7509"
"14 Dec 17","0.7449"
"13 Dec 17","0.7483"
"12 Dec 17","0.7506"
"11 Dec 17","0.7484"
"08 Dec 17","0.7476"
"07 Dec 17","0.7453"
"06 Dec 17","0.7473"
"05 Dec 17","0.7431"
"04 Dec 17","0.7419"
"01 Dec 17","0.7413"
"30 Nov 17","0.7391"
"29 Nov 17","0.7456"
"28 Nov 17","0.7557"
"27 Nov 17","0.7496"
"24 Nov 17","0.749"
"23 Nov 17","0.752"
"22 Nov 17","0.7528"
"21 Nov 17","0.7559"
"20 Nov 17","0.754"
"17 Nov 17","0.7572"
"16 Nov 17","0.7578"
"15 Nov 17","0.7597"
"14 Nov 17","0.7623"
"13 Nov 17","0.7627"
"10 Nov 17","0.7564"
"09 Nov 17","0.7623"
"08 Nov 17","0.7634"
"07 Nov 17","0.761"
"06 Nov 17","0.7621"
"03 Nov 17","0.7653"
"02 Nov 17","0.7652"
"01 Nov 17","0.7543"
"31 Oct 17","0.753"
"30 Oct 17","0.7579"
"27 Oct 17","0.7627"
"26 Oct 17","0.7592"
"25 Oct 17","0.7545"
"24 Oct 17","0.7623"
"23 Oct 17","0.7584"
"20 Oct 17","0.7582"
"19 Oct 17","0.7574"
"18 Oct 17","0.7592"
"17 Oct 17","0.7594"
"16 Oct 17","0.7529"
"13 Oct 17","0.7516"
"12 Oct 17","0.7596"
"11 Oct 17","0.7582"
"10 Oct 17","0.7565"
"09 Oct 17","0.7615"
"06 Oct 17","0.7658"
"05 Oct 17","0.7611"
"04 Oct 17","0.7532"
"03 Oct 17","0.755"
"02 Oct 17","0.7532"
"29 Sep 17","0.7454"
"28 Sep 17","0.7438"
"27 Sep 17","0.747"
"26 Sep 17","0.7453"
"25 Sep 17","0.7416"
"22 Sep 17","0.7393"
"21 Sep 17","0.7384"
"20 Sep 17","0.7371"
"19 Sep 17","0.7395"
"18 Sep 17","0.7376"
"15 Sep 17","0.7355"
"14 Sep 17","0.7491"
"13 Sep 17","0.7559"
"12 Sep 17","0.754"
"11 Sep 17","0.7586"
"08 Sep 17","0.7585"
"07 Sep 17","0.7627"
"06 Sep 17","0.7651"
"05 Sep 17","0.7676"
"04 Sep 17","0.7718"
"01 Sep 17","0.7708"
"31 Aug 17","0.776"
"30 Aug 17","0.774"
"29 Aug 17","0.7721"
"25 Aug 17","0.7766"
"24 Aug 17","0.7814"
"23 Aug 17","0.7815"
"22 Aug 17","0.7791"
"21 Aug 17","0.775"
"18 Aug 17","0.7778"
"17 Aug 17","0.7757"
"16 Aug 17","0.7771"
"15 Aug 17","0.778"
"14 Aug 17","0.77"
"11 Aug 17","0.7706"
"10 Aug 17","0.7698"
"09 Aug 17","0.7696"
"08 Aug 17","0.7716"
"07 Aug 17","0.7679"
"04 Aug 17","0.767"
"03 Aug 17","0.7608"
"02 Aug 17","0.7563"
"01 Aug 17","0.7559"
"31 Jul 17","0.7586"
"28 Jul 17","0.7623"
"27 Jul 17","0.7641"
"26 Jul 17","0.7659"
"25 Jul 17","0.7663"
"24 Jul 17","0.7665"
"21 Jul 17","0.7698"
"20 Jul 17","0.7699"
"19 Jul 17","0.7667"
"18 Jul 17","0.7682"
"17 Jul 17","0.7653"
"14 Jul 17","0.7642"
"13 Jul 17","0.7732"
"12 Jul 17","0.7758"
"11 Jul 17","0.7786"
"10 Jul 17","0.7775"
"07 Jul 17","0.7764"
"06 Jul 17","0.7724"
"05 Jul 17","0.7737"
"04 Jul 17","0.7735"
"03 Jul 17","0.773"
"30 Jun 17","0.7698"
"29 Jun 17","0.7695"
"28 Jun 17","0.7727"
"27 Jun 17","0.7827"
"26 Jun 17","0.7851"
"23 Jun 17","0.7851"
"22 Jun 17","0.7898"
"21 Jun 17","0.7896"
"20 Jun 17","0.7925"
"19 Jun 17","0.7838"
"16 Jun 17","0.7812"
"15 Jun 17","0.7836"
"14 Jun 17","0.7819"
"13 Jun 17","0.7855"
"12 Jun 17","0.7891"
"09 Jun 17","0.7848"
"08 Jun 17","0.7724"
"07 Jun 17","0.7717"
"06 Jun 17","0.7755"
"05 Jun 17","0.7734"
"02 Jun 17","0.7763"
"01 Jun 17","0.775"
"31 May 17","0.7745"
"30 May 17","0.7775"
"26 May 17","0.7818"
"25 May 17","0.7724"
"24 May 17","0.7722"
"23 May 17","0.7704"
"22 May 17","0.7683"
"19 May 17","0.7677"
"18 May 17","0.7693"
"17 May 17","0.7709"
"16 May 17","0.7741"
"15 May 17","0.7741"
"12 May 17","0.7758"
"11 May 17","0.7766"
"10 May 17","0.7723"
"09 May 17","0.7721"
"08 May 17","0.7727"
"05 May 17","0.7717"
"04 May 17","0.7743"
"03 May 17","0.7754"
"02 May 17","0.774"
"28 Apr 17","0.7729"
"27 Apr 17","0.7755"
"26 Apr 17","0.7777"
"25 Apr 17","0.7795"
"24 Apr 17","0.7827"
"21 Apr 17","0.7827"
"20 Apr 17","0.7788"
"19 Apr 17","0.7806"
"18 Apr 17","0.7834"
"13 Apr 17","0.7989"
"12 Apr 17","0.7994"
"11 Apr 17","0.8007"
"10 Apr 17","0.8048"
"07 Apr 17","0.807"
"06 Apr 17","0.8003"
"05 Apr 17","0.8015"
"04 Apr 17","0.8033"
"03 Apr 17","0.8011"
"31 Mar 17","0.7996"
"30 Mar 17","0.8007"
"29 Mar 17","0.8057"
"28 Mar 17","0.7977"
"27 Mar 17","0.7955"
"24 Mar 17","0.8006"
"23 Mar 17","0.7983"
"22 Mar 17","0.8015"
"21 Mar 17","0.8013"
"20 Mar 17","0.8087"
"17 Mar 17","0.8083"
"16 Mar 17","0.8085"
"15 Mar 17","0.8182"
"14 Mar 17","0.8219"
"13 Mar 17","0.8174"
"10 Mar 17","0.8219"
"09 Mar 17","0.823"
"08 Mar 17","0.8218"
"07 Mar 17","0.8201"
"06 Mar 17","0.816"
"03 Mar 17","0.8156"
"02 Mar 17","0.814"
"01 Mar 17","0.8119"
"28 Feb 17","0.8035"
"27 Feb 17","0.8019"
"24 Feb 17","0.8007"
"23 Feb 17","0.7969"
"22 Feb 17","0.8027"
"21 Feb 17","0.8021"
"20 Feb 17","0.8017"
"17 Feb 17","0.8044"
"16 Feb 17","0.8"
"15 Feb 17","0.8034"
"14 Feb 17","0.8024"
"13 Feb 17","0.7998"
"10 Feb 17","0.8012"
"09 Feb 17","0.7982"
"08 Feb 17","0.7979"
"07 Feb 17","0.8046"
"06 Feb 17","0.8036"
"03 Feb 17","0.7997"
"02 Feb 17","0.7981"
"01 Feb 17","0.7907"
"31 Jan 17","0.7943"
"30 Jan 17","0.799"
"27 Jan 17","0.7966"
"26 Jan 17","0.7943"
"25 Jan 17","0.7933"
"24 Jan 17","0.7992"
"23 Jan 17","0.8003"
"20 Jan 17","0.8115"
"19 Jan 17","0.8127"
"18 Jan 17","0.81"
"17 Jan 17","0.8074"
"16 Jan 17","0.8288"
"13 Jan 17","0.8207"
"12 Jan 17","0.8184"
"11 Jan 17","0.8284"
"10 Jan 17","0.8207"
"09 Jan 17","0.8232"
"06 Jan 17","0.8118"
"05 Jan 17","0.8048"
"04 Jan 17","0.8133"
"03 Jan 17","0.817"
"30 Dec 16","0.8128"
"29 Dec 16","0.8179"
"28 Dec 16","0.8179"
"23 Dec 16","0.8159"
"22 Dec 16","0.8131"
"21 Dec 16","0.808"
"20 Dec 16","0.8095"
"19 Dec 16","0.807"
"16 Dec 16","0.8042"
"15 Dec 16","0.8059"
"14 Dec 16","0.7873"
"13 Dec 16","0.7884"
"12 Dec 16","0.7893"
"09 Dec 16","0.7959"
"08 Dec 16","0.7965"
"07 Dec 16","0.7931"
"06 Dec 16","0.7867"
"05 Dec 16","0.787"
"02 Dec 16","0.79"
"01 Dec 16","0.7923"
"30 Nov 16","0.8002"
"29 Nov 16","0.7996"
"28 Nov 16","0.8057"
"25 Nov 16","0.803"
"24 Nov 16","0.8023"
"23 Nov 16","0.8065"
"22 Nov 16","0.805"
"21 Nov 16","0.8017"
"18 Nov 16","0.8122"
"17 Nov 16","0.8041"
"16 Nov 16","0.805"
"15 Nov 16","0.8075"
"14 Nov 16","0.803"
"11 Nov 16","0.795"
"10 Nov 16","0.8009"
"09 Nov 16","0.8036"
"08 Nov 16","0.806"
"07 Nov 16","0.8069"
"04 Nov 16","0.7971"
"03 Nov 16","0.8029"
"02 Nov 16","0.812"
