"Date","Spot exchange rate, Swiss Franc into US $                          XUDLSFD"
"04 Oct 18","0.991"
"03 Oct 18","0.9889"
"02 Oct 18","0.9843"
"01 Oct 18","0.9836"
"28 Sep 18","0.9768"
"27 Sep 18","0.9754"
"26 Sep 18","0.968"
"25 Sep 18","0.9637"
"24 Sep 18","0.9603"
"21 Sep 18","0.958"
"20 Sep 18","0.9611"
"19 Sep 18","0.9679"
"18 Sep 18","0.962"
"17 Sep 18","0.9624"
"14 Sep 18","0.966"
"13 Sep 18","0.968"
"12 Sep 18","0.9713"
"11 Sep 18","0.9742"
"10 Sep 18","0.9727"
"07 Sep 18","0.9676"
"06 Sep 18","0.968"
"05 Sep 18","0.9714"
"04 Sep 18","0.9751"
"03 Sep 18","0.9685"
"31 Aug 18","0.9673"
"30 Aug 18","0.971"
"29 Aug 18","0.9736"
"28 Aug 18","0.9762"
"24 Aug 18","0.9827"
"23 Aug 18","0.9846"
"22 Aug 18","0.9829"
"21 Aug 18","0.9884"
"20 Aug 18","0.9944"
"17 Aug 18","0.9951"
"16 Aug 18","0.9947"
"15 Aug 18","0.9941"
"14 Aug 18","0.9928"
"13 Aug 18","0.9937"
"10 Aug 18","0.9932"
"09 Aug 18","0.9909"
"08 Aug 18","0.9946"
"07 Aug 18","0.9949"
"06 Aug 18","0.9967"
"03 Aug 18","0.993"
"02 Aug 18","0.9941"
"01 Aug 18","0.9928"
"31 Jul 18","0.9899"
"30 Jul 18","0.9888"
"27 Jul 18","0.9941"
"26 Jul 18","0.9935"
"25 Jul 18","0.9939"
"24 Jul 18","0.9932"
"23 Jul 18","0.9931"
"20 Jul 18","0.9952"
"19 Jul 18","1.0013"
"18 Jul 18","0.9998"
"17 Jul 18","0.9985"
"16 Jul 18","0.9987"
"13 Jul 18","1.0036"
"12 Jul 18","1"
"11 Jul 18","0.9931"
"10 Jul 18","0.9934"
"09 Jul 18","0.9905"
"06 Jul 18","0.9892"
"05 Jul 18","0.992"
"04 Jul 18","0.9932"
"03 Jul 18","0.9927"
"02 Jul 18","0.9949"
"29 Jun 18","0.9928"
"28 Jun 18","0.9978"
"27 Jun 18","0.9951"
"26 Jun 18","0.9901"
"25 Jun 18","0.9884"
"22 Jun 18","0.9899"
"21 Jun 18","0.9915"
"20 Jun 18","0.9951"
"19 Jun 18","0.9956"
"18 Jun 18","0.9946"
"15 Jun 18","0.9951"
"14 Jun 18","0.992"
"13 Jun 18","0.9853"
"12 Jun 18","0.9846"
"11 Jun 18","0.9844"
"08 Jun 18","0.9856"
"07 Jun 18","0.9827"
"06 Jun 18","0.9855"
"05 Jun 18","0.988"
"04 Jun 18","0.9877"
"01 Jun 18","0.9878"
"31 May 18","0.9834"
"30 May 18","0.9898"
"29 May 18","0.9949"
"25 May 18","0.9914"
"24 May 18","0.991"
"23 May 18","0.994"
"22 May 18","0.9929"
"21 May 18","0.9981"
"18 May 18","0.9986"
"17 May 18","1.0019"
"16 May 18","1.0007"
"15 May 18","1.0018"
"14 May 18","0.9981"
"11 May 18","0.9998"
"10 May 18","1.0042"
"09 May 18","1.0041"
"08 May 18","1.0018"
"04 May 18","1.0014"
"03 May 18","0.9995"
"02 May 18","0.9984"
"01 May 18","0.9958"
"30 Apr 18","0.9899"
"27 Apr 18","0.9883"
"26 Apr 18","0.9877"
"25 Apr 18","0.984"
"24 Apr 18","0.981"
"23 Apr 18","0.9773"
"20 Apr 18","0.9741"
"19 Apr 18","0.9701"
"18 Apr 18","0.9671"
"17 Apr 18","0.9657"
"16 Apr 18","0.9596"
"13 Apr 18","0.9623"
"12 Apr 18","0.9623"
"11 Apr 18","0.957"
"10 Apr 18","0.9561"
"09 Apr 18","0.9578"
"06 Apr 18","0.9608"
"05 Apr 18","0.9633"
"04 Apr 18","0.9597"
"03 Apr 18","0.9588"
"29 Mar 18","0.9576"
"28 Mar 18","0.9534"
"27 Mar 18","0.9482"
"26 Mar 18","0.9442"
"23 Mar 18","0.9466"
"22 Mar 18","0.9492"
"21 Mar 18","0.9542"
"20 Mar 18","0.955"
"19 Mar 18","0.9511"
"16 Mar 18","0.9533"
"15 Mar 18","0.9504"
"14 Mar 18","0.9465"
"13 Mar 18","0.9437"
"12 Mar 18","0.9489"
"09 Mar 18","0.9503"
"08 Mar 18","0.949"
"07 Mar 18","0.9419"
"06 Mar 18","0.9392"
"05 Mar 18","0.9388"
"02 Mar 18","0.938"
"01 Mar 18","0.9482"
"28 Feb 18","0.945"
"27 Feb 18","0.9403"
"26 Feb 18","0.9382"
"23 Feb 18","0.936"
"22 Feb 18","0.9344"
"21 Feb 18","0.9371"
"20 Feb 18","0.9346"
"19 Feb 18","0.9293"
"16 Feb 18","0.925"
"15 Feb 18","0.9238"
"14 Feb 18","0.931"
"13 Feb 18","0.9335"
"12 Feb 18","0.939"
"09 Feb 18","0.9402"
"08 Feb 18","0.9393"
"07 Feb 18","0.9447"
"06 Feb 18","0.9385"
"05 Feb 18","0.9369"
"02 Feb 18","0.9321"
"01 Feb 18","0.9282"
"31 Jan 18","0.9294"
"30 Jan 18","0.935"
"29 Jan 18","0.9364"
"26 Jan 18","0.935"
"25 Jan 18","0.9317"
"24 Jan 18","0.9458"
"23 Jan 18","0.9575"
"22 Jan 18","0.9605"
"19 Jan 18","0.9615"
"18 Jan 18","0.9594"
"17 Jan 18","0.9609"
"16 Jan 18","0.9621"
"15 Jan 18","0.9634"
"12 Jan 18","0.9715"
"11 Jan 18","0.9747"
"10 Jan 18","0.9773"
"09 Jan 18","0.9828"
"08 Jan 18","0.9764"
"05 Jan 18","0.9753"
"04 Jan 18","0.9748"
"03 Jan 18","0.9769"
"02 Jan 18","0.9723"
"29 Dec 17","0.9755"
"28 Dec 17","0.979"
"27 Dec 17","0.9881"
"22 Dec 17","0.9894"
"21 Dec 17","0.9891"
"20 Dec 17","0.9848"
"19 Dec 17","0.9873"
"18 Dec 17","0.9855"
"15 Dec 17","0.9918"
"14 Dec 17","0.9897"
"13 Dec 17","0.9891"
"12 Dec 17","0.9926"
"11 Dec 17","0.9906"
"08 Dec 17","0.9942"
"07 Dec 17","0.993"
"06 Dec 17","0.9898"
"05 Dec 17","0.9873"
"04 Dec 17","0.9848"
"01 Dec 17","0.9841"
"30 Nov 17","0.982"
"29 Nov 17","0.9843"
"28 Nov 17","0.9841"
"27 Nov 17","0.9811"
"24 Nov 17","0.9789"
"23 Nov 17","0.9818"
"22 Nov 17","0.9834"
"21 Nov 17","0.9924"
"20 Nov 17","0.9911"
"17 Nov 17","0.991"
"16 Nov 17","0.9934"
"15 Nov 17","0.9898"
"14 Nov 17","0.9918"
"13 Nov 17","0.9954"
"10 Nov 17","0.9949"
"09 Nov 17","0.9981"
"08 Nov 17","1"
"07 Nov 17","0.9991"
"06 Nov 17","1.0006"
"03 Nov 17","1.0003"
"02 Nov 17","0.9979"
"01 Nov 17","1.0015"
"31 Oct 17","0.9968"
"30 Oct 17","0.997"
"27 Oct 17","0.9991"
"26 Oct 17","0.9967"
"25 Oct 17","0.99"
"24 Oct 17","0.9897"
"23 Oct 17","0.9857"
"20 Oct 17","0.9835"
"19 Oct 17","0.9746"
"18 Oct 17","0.9817"
"17 Oct 17","0.9801"
"16 Oct 17","0.9752"
"13 Oct 17","0.9744"
"12 Oct 17","0.9762"
"11 Oct 17","0.9724"
"10 Oct 17","0.9745"
"09 Oct 17","0.9795"
"06 Oct 17","0.978"
"05 Oct 17","0.9781"
"04 Oct 17","0.9744"
"03 Oct 17","0.974"
"02 Oct 17","0.9737"
"29 Sep 17","0.9676"
"28 Sep 17","0.9714"
"27 Sep 17","0.9747"
"26 Sep 17","0.9705"
"25 Sep 17","0.9696"
"22 Sep 17","0.9688"
"21 Sep 17","0.9733"
"20 Sep 17","0.9619"
"19 Sep 17","0.9629"
"18 Sep 17","0.9602"
"15 Sep 17","0.9601"
