"Date","Spot exchange rate, South Korean Won into Dollar                          XUDLBK74"
"04 Oct 18","1131.545"
"03 Oct 18","1119.935"
"02 Oct 18","1117.8"
"01 Oct 18","1111.85"
"28 Sep 18","1109.81"
"27 Sep 18","1111.2"
"26 Sep 18","1114.74"
"25 Sep 18","1118.04"
"24 Sep 18","1118.865"
"21 Sep 18","1114.37"
"20 Sep 18","1118.3"
"19 Sep 18","1120.625"
"18 Sep 18","1123.845"
"17 Sep 18","1124.91"
"14 Sep 18","1119.875"
"13 Sep 18","1122.23"
"12 Sep 18","1126.69"
"11 Sep 18","1127.47"
"10 Sep 18","1128.505"
"07 Sep 18","1124.445"
"06 Sep 18","1122.055"
"05 Sep 18","1121.905"
"04 Sep 18","1118.715"
"03 Sep 18","1111.755"
"31 Aug 18","1115.96"
"30 Aug 18","1111.205"
"29 Aug 18","1111.185"
"28 Aug 18","1105.99"
"24 Aug 18","1113.48"
"23 Aug 18","1123.205"
"22 Aug 18","1118.125"
"21 Aug 18","1118.32"
"20 Aug 18","1121.84"
"17 Aug 18","1122.9"
"16 Aug 18","1124.7"
"15 Aug 18","1137.025"
"14 Aug 18","1127.765"
"13 Aug 18","1132.91"
"10 Aug 18","1127.8"
"09 Aug 18","1118.9"
"08 Aug 18","1119.025"
"07 Aug 18","1120.39"
"06 Aug 18","1127.3"
"03 Aug 18","1124.7"
"02 Aug 18","1129"
"01 Aug 18","1118.11"
"31 Jul 18","1116.47"
"30 Jul 18","1116.16"
"27 Jul 18","1116.8"
"26 Jul 18","1123.29"
"25 Jul 18","1126.47"
"24 Jul 18","1126.25"
"23 Jul 18","1135.21"
"20 Jul 18","1128.885"
"19 Jul 18","1138.405"
"18 Jul 18","1132.86"
"17 Jul 18","1127.1"
"16 Jul 18","1129.06"
"13 Jul 18","1131.41"
"12 Jul 18","1124.2"
"11 Jul 18","1122.035"
"10 Jul 18","1115.185"
"09 Jul 18","1112.3"
"06 Jul 18","1115.81"
"05 Jul 18","1118.77"
"04 Jul 18","1116.47"
"03 Jul 18","1115.19"
"02 Jul 18","1119.97"
"29 Jun 18","1111.78"
"28 Jun 18","1123.37"
"27 Jun 18","1118.5"
"26 Jun 18","1119.96"
"25 Jun 18","1115.025"
"22 Jun 18","1115.1"
"21 Jun 18","1109.97"
"20 Jun 18","1108.43"
"19 Jun 18","1114.245"
"18 Jun 18","1106.27"
"15 Jun 18","1103.3"
"14 Jun 18","1084.23"
"13 Jun 18","1084.13"
"12 Jun 18","1077.45"
"11 Jun 18","1075.86"
"08 Jun 18","1075.91"
"07 Jun 18","1071.11"
"06 Jun 18","1067.01"
"05 Jun 18","1072.1"
"04 Jun 18","1070.585"
"01 Jun 18","1074.02"
"31 May 18","1079.08"
"30 May 18","1080.63"
"29 May 18","1082.295"
"25 May 18","1078.665"
"24 May 18","1084.12"
"23 May 18","1080.97"
"22 May 18","1075.97"
"21 May 18","1080.64"
"18 May 18","1081.67"
"17 May 18","1082.575"
"16 May 18","1078.775"
"15 May 18","1076.755"
"14 May 18","1069.71"
"11 May 18","1068.08"
"10 May 18","1068.61"
"09 May 18","1080.105"
"08 May 18","1080.21"
"04 May 18","1076.51"
"03 May 18","1079.93"
"02 May 18","1078.385"
"01 May 18","1073.295"
"30 Apr 18","1069.63"
"27 Apr 18","1068.75"
"26 Apr 18","1078.77"
"25 Apr 18","1084.08"
"24 Apr 18","1077.25"
"23 Apr 18","1079.215"
"20 Apr 18","1072.98"
"19 Apr 18","1064.15"
"18 Apr 18","1064.72"
"17 Apr 18","1067.68"
"16 Apr 18","1072.55"
"13 Apr 18","1070.895"
"12 Apr 18","1070.525"
"11 Apr 18","1066.65"
"10 Apr 18","1065.14"
"09 Apr 18","1068.5"
"06 Apr 18","1069.8"
"05 Apr 18","1063.08"
"04 Apr 18","1061.6"
"03 Apr 18","1055.195"
"29 Mar 18","1063.59"
"28 Mar 18","1064.595"
"27 Mar 18","1072.75"
"26 Mar 18","1077.55"
"23 Mar 18","1082.43"
"22 Mar 18","1080.515"
"21 Mar 18","1071.545"
"20 Mar 18","1071.12"
"19 Mar 18","1072.825"
"16 Mar 18","1069.735"
"15 Mar 18","1066.82"
"14 Mar 18","1064.25"
"13 Mar 18","1062.32"
"12 Mar 18","1064.68"
"09 Mar 18","1065.84"
"08 Mar 18","1074.79"
"07 Mar 18","1067.735"
"06 Mar 18","1063.2"
"05 Mar 18","1079.035"
"02 Mar 18","1084.68"
"01 Mar 18","1083.69"
"28 Feb 18","1081.685"
"27 Feb 18","1077.63"
"26 Feb 18","1071.09"
"23 Feb 18","1076.9"
"22 Feb 18","1078"
"21 Feb 18","1072.335"
"20 Feb 18","1073.44"
"19 Feb 18","1067.02"
"16 Feb 18","1065.28"
"15 Feb 18","1067.53"
"14 Feb 18","1076.875"
"13 Feb 18","1083.84"
"12 Feb 18","1084.285"
"09 Feb 18","1086.095"
"08 Feb 18","1092.24"
"07 Feb 18","1082.98"
"06 Feb 18","1084.36"
"05 Feb 18","1085.88"
"02 Feb 18","1087.1"
"01 Feb 18","1071.37"
"31 Jan 18","1067.63"
"30 Jan 18","1072.48"
"29 Jan 18","1071.965"
"26 Jan 18","1064.56"
"25 Jan 18","1059.64"
"24 Jan 18","1064.925"
"23 Jan 18","1073.86"
"22 Jan 18","1069.705"
"19 Jan 18","1067.84"
"18 Jan 18","1069.31"
"17 Jan 18","1067.71"
"16 Jan 18","1064.08"
"15 Jan 18","1063.245"
"12 Jan 18","1062.13"
"11 Jan 18","1063.815"
"10 Jan 18","1067.65"
"09 Jan 18","1070.565"
"08 Jan 18","1068.445"
"05 Jan 18","1062.33"
"04 Jan 18","1063.445"
"03 Jan 18","1065.74"
"02 Jan 18","1062.605"
"29 Dec 17","1066.48"
"28 Dec 17","1069.695"
"27 Dec 17","1073.87"
"22 Dec 17","1078.79"
"21 Dec 17","1078.93"
"20 Dec 17","1078.95"
"19 Dec 17","1085.57"
"18 Dec 17","1084.79"
"15 Dec 17","1087.12"
"14 Dec 17","1089.04"
"13 Dec 17","1089.06"
"12 Dec 17","1091.18"
"11 Dec 17","1086.64"
"08 Dec 17","1093.045"
"07 Dec 17","1092.095"
"06 Dec 17","1094.25"
"05 Dec 17","1086.995"
"04 Dec 17","1086.7"
"01 Dec 17","1084.18"
"30 Nov 17","1086.26"
"29 Nov 17","1080.54"
"28 Nov 17","1081.78"
"27 Nov 17","1087.41"
"24 Nov 17","1083.76"
"23 Nov 17","1083.84"
"22 Nov 17","1087.17"
"21 Nov 17","1089.41"
"20 Nov 17","1096.42"
"17 Nov 17","1094.795"
"16 Nov 17","1096.645"
"15 Nov 17","1105.335"
"14 Nov 17","1114.895"
"13 Nov 17","1119.41"
"10 Nov 17","1119.345"
"09 Nov 17","1117.19"
"08 Nov 17","1113.22"
"07 Nov 17","1113.17"
"06 Nov 17","1111.63"
"03 Nov 17","1115.65"
"02 Nov 17","1112.58"
"01 Nov 17","1111.09"
"31 Oct 17","1117.08"
"30 Oct 17","1124.33"
"27 Oct 17","1125.88"
"26 Oct 17","1124.04"
"25 Oct 17","1125.22"
"24 Oct 17","1129.185"
"23 Oct 17","1129.96"
"20 Oct 17","1131.15"
"19 Oct 17","1130.33"
"18 Oct 17","1131.77"
"17 Oct 17","1130.89"
"16 Oct 17","1128.01"
"13 Oct 17","1126.12"
"12 Oct 17","1131.29"
"11 Oct 17","1132.735"
"10 Oct 17","1132.61"
"09 Oct 17","1143.96"
"06 Oct 17","1143.15"
"05 Oct 17","1139.32"
"04 Oct 17","1140.725"
"03 Oct 17","1141.92"
"02 Oct 17","1145.47"
