"Date","Spot exchange rate, Japanese Yen into US $                          XUDLJYD"
"04 Oct 18","113.685"
"03 Oct 18","114.12"
"02 Oct 18","113.68"
"01 Oct 18","113.95"
"28 Sep 18","113.6"
"27 Sep 18","113.23"
"26 Sep 18","113.04"
"25 Sep 18","112.87"
"24 Sep 18","112.54"
"21 Sep 18","112.54"
"20 Sep 18","112.48"
"19 Sep 18","112.33"
"18 Sep 18","112.32"
"17 Sep 18","111.95"
"14 Sep 18","112.1"
"13 Sep 18","111.83"
"12 Sep 18","111.26"
"11 Sep 18","111.47"
"10 Sep 18","111.12"
"07 Sep 18","111.14"
"06 Sep 18","110.9"
"05 Sep 18","111.58"
"04 Sep 18","111.34"
"03 Sep 18","111.02"
"31 Aug 18","110.88"
"30 Aug 18","111.37"
"29 Aug 18","111.67"
"28 Aug 18","111.14"
"24 Aug 18","111.23"
"23 Aug 18","111.22"
"22 Aug 18","110.45"
"21 Aug 18","110.48"
"20 Aug 18","110.45"
"17 Aug 18","110.45"
"16 Aug 18","110.74"
"15 Aug 18","110.44"
"14 Aug 18","110.88"
"13 Aug 18","110.77"
"10 Aug 18","110.7"
"09 Aug 18","110.93"
"08 Aug 18","110.96"
"07 Aug 18","111.24"
"06 Aug 18","111.45"
"03 Aug 18","111.16"
"02 Aug 18","111.45"
"01 Aug 18","111.99"
"31 Jul 18","111.94"
"30 Jul 18","110.98"
"27 Jul 18","110.97"
"26 Jul 18","111.06"
"25 Jul 18","110.975"
"24 Jul 18","111.1"
"23 Jul 18","111.4"
"20 Jul 18","111.84"
"19 Jul 18","112.87"
"18 Jul 18","112.78"
"17 Jul 18","112.83"
"16 Jul 18","112.39"
"13 Jul 18","112.4"
"12 Jul 18","112.41"
"11 Jul 18","111.31"
"10 Jul 18","111.25"
"09 Jul 18","110.72"
"06 Jul 18","110.46"
"05 Jul 18","110.57"
"04 Jul 18","110.55"
"03 Jul 18","110.64"
"02 Jul 18","110.75"
"29 Jun 18","110.75"
"28 Jun 18","110.37"
"27 Jun 18","110.48"
"26 Jun 18","109.89"
"25 Jun 18","109.69"
"22 Jun 18","109.9"
"21 Jun 18","110"
"20 Jun 18","110.08"
"19 Jun 18","109.83"
"18 Jun 18","110.46"
"15 Jun 18","110.49"
"14 Jun 18","110.25"
"13 Jun 18","110.42"
"12 Jun 18","110.3"
"11 Jun 18","109.9"
"08 Jun 18","109.37"
"07 Jun 18","110.01"
"06 Jun 18","110.04"
"05 Jun 18","109.83"
"04 Jun 18","109.65"
"01 Jun 18","109.55"
"31 May 18","108.65"
"30 May 18","108.91"
"29 May 18","108.85"
"25 May 18","109.27"
"24 May 18","109.035"
"23 May 18","109.95"
"22 May 18","111.02"
"21 May 18","111.225"
"18 May 18","110.69"
"17 May 18","110.82"
"16 May 18","110.32"
"15 May 18","110.3"
"14 May 18","109.57"
"11 May 18","109.39"
"10 May 18","109.61"
"09 May 18","109.69"
"08 May 18","109.23"
"04 May 18","109.12"
"03 May 18","109.06"
"02 May 18","109.98"
"01 May 18","109.75"
"30 Apr 18","109.44"
"27 Apr 18","109.08"
"26 Apr 18","109.37"
"25 Apr 18","109.31"
"24 Apr 18","109.18"
"23 Apr 18","108.45"
"20 Apr 18","107.7"
"19 Apr 18","107.37"
"18 Apr 18","107.23"
"17 Apr 18","107.15"
"16 Apr 18","107.255"
"13 Apr 18","107.53"
"12 Apr 18","107.27"
"11 Apr 18","106.71"
"10 Apr 18","107.17"
"09 Apr 18","107.05"
"06 Apr 18","107.13"
"05 Apr 18","107.46"
"04 Apr 18","106.56"
"03 Apr 18","106.55"
"29 Mar 18","106.35"
"28 Mar 18","106.2"
"27 Mar 18","105.78"
"26 Mar 18","105.05"
"23 Mar 18","104.84"
"22 Mar 18","105.34"
"21 Mar 18","106.32"
"20 Mar 18","106.42"
"19 Mar 18","105.84"
"16 Mar 18","106.09"
"15 Mar 18","106.06"
"14 Mar 18","106.17"
"13 Mar 18","106.63"
"12 Mar 18","106.53"
"09 Mar 18","106.97"
"08 Mar 18","106.09"
"07 Mar 18","106"
"06 Mar 18","106.03"
"05 Mar 18","105.83"
"02 Mar 18","105.48"
"01 Mar 18","107.065"
"28 Feb 18","106.73"
"27 Feb 18","107.57"
"26 Feb 18","106.94"
"23 Feb 18","106.63"
"22 Feb 18","106.88"
"21 Feb 18","107.62"
"20 Feb 18","107.12"
"19 Feb 18","106.51"
"16 Feb 18","106.04"
"15 Feb 18","106.27"
"14 Feb 18","106.85"
"13 Feb 18","107.47"
"12 Feb 18","108.55"
"09 Feb 18","108.68"
"08 Feb 18","109.25"
"07 Feb 18","109.26"
"06 Feb 18","109.3"
"05 Feb 18","110.11"
"02 Feb 18","110.4"
"01 Feb 18","109.38"
"31 Jan 18","109.18"
"30 Jan 18","108.83"
"29 Jan 18","109.02"
"26 Jan 18","108.61"
"25 Jan 18","108.7"
"24 Jan 18","109.2"
"23 Jan 18","110.35"
"22 Jan 18","110.79"
"19 Jan 18","110.63"
"18 Jan 18","110.95"
"17 Jan 18","110.72"
"16 Jan 18","110.69"
"15 Jan 18","110.51"
"12 Jan 18","111.31"
"11 Jan 18","111.4"
"10 Jan 18","111.35"
"09 Jan 18","112.44"
"08 Jan 18","112.98"
"05 Jan 18","113.24"
"04 Jan 18","112.78"
"03 Jan 18","112.4"
"02 Jan 18","112.15"
"29 Dec 17","112.49"
